Complexity,Loss,Equation
1,0.19202678,"-0.4157412"
2,0.19202675,"cube(-0.7463495)"
3,0.1293961,"0.8023431 - nu"
4,0.12715343,"cube(-0.5921783 * nu)"
5,0.06976321,"Epsilon * (1.0776874 - temperature)"
6,0.06084616,"cube((1.1973331 / temperature) - nu)"
7,0.047287393,"cube((0.7872621 - sqrt(nu)) * temperature)"
8,0.045353316,"(density - cube(sqrt(temperature))) * log(nu)"
9,0.037081175,"square(sqrt(density) - temperature) * (1.0307542 - nu)"
10,0.036248628,"(square(-0.72064906 * temperature) - density) * (0.9885918 - nu)"
11,0.03044773,"(1.0396277 - nu) * square(temperature - sqrt(density * Epsilon))"
12,0.028612554,"(square(temperature - (epsilon_AB * density)) * (1.0396277 - nu)) / 1.2997466"
13,0.023832873,"(1.0307542 - nu) * square(sin(density * temperature) - temperature)"
14,0.019695342,"(1.0193821 - nu) * square(temperature - sin(sqrt(density) / Epsilon))"
15,0.015543553,"(1.0307542 - nu) * square(sin(density * (temperature - -0.51229876)) - temperature)"
16,0.013809122,"(1.0396277 - nu) * square(temperature - sin(sqrt(density * 1.3864212) / Epsilon))"
17,0.0137968315,"(1.0396277 - nu) * square(temperature - sin(sqrt(density * square(-1.172133)) / Epsilon))"
18,0.009938344,"((square((density * (temperature + density)) - nu) + square(temperature)) - 1.7944492) * (sqrt(nu) - nu)"
19,0.007955787,"(square(nu - ((temperature - -0.63780224) * density)) + square(Sigma - temperature)) * (sqrt(sqrt(nu)) - nu)"
20,0.007955335,"(square(nu - ((temperature + sqrt(0.40168995)) * density)) + square(Sigma - temperature)) * (sqrt(sqrt(nu)) - nu)"
21,0.007454501,"(square(((temperature + (density * 0.77848834)) * density) - nu) + square(temperature - Sigma)) * (sqrt(sqrt(nu)) - nu)"
22,0.0068694702,"((square(((density + temperature) * density) - nu) + square(temperature - square(Sigma))) - 0.48349783) * (sqrt(sqrt(nu)) - nu)"
23,0.0061445194,"(square((density * (0.93574125 * (density + temperature))) - nu) + (square(temperature - 0.96085453) / Sigma)) * (sqrt(sqrt(nu)) - nu)"
24,0.0059251892,"(sqrt(sqrt(nu)) - nu) * (square(nu - ((square(density) + temperature) * density)) + ((-0.3469554 + square(temperature - Sigma)) / Sigma))"
25,0.0050834133,"(square((density * (0.93574125 * (density + temperature))) - nu) + ((square(temperature - Sigma) + -0.33889252) / Sigma)) * (sqrt(sqrt(nu)) - nu)"
26,0.004629952,"(sqrt(sqrt(nu)) - nu) * ((square(temperature - square(Sigma)) + (1.1430944 - nu)) + square((density * ((density + temperature) * 0.93574125)) - nu))"
27,0.0042581726,"((square((density * (0.93574125 * (density + temperature))) - nu) + ((square(temperature - Sigma) + -0.40880126) / Sigma)) * (sqrt(sqrt(nu)) - nu)) - 0.04708763"
29,0.0041721514,"-0.023266423 + (((square((density * ((density + temperature) * 0.93574125)) - nu) + ((square(temperature - Sigma) + -0.40880126) / Sigma)) * (sqrt(sqrt(nu)) - nu)) - 0.013292603)"
31,0.0038989298,"((-0.023266423 / temperature) / Epsilon) + ((square((density * ((density + temperature) * 0.93574125)) - nu) + ((square(temperature - Sigma) + -0.40880126) / Sigma)) * (sqrt(sqrt(nu)) - nu))"
32,0.0037496348,"(sqrt(sqrt(nu)) - nu) * (square((density * ((density + temperature) * 0.93574125)) - nu) + (((square(temperature - (square(Sigma) / 0.8448481)) + 0.11898771) + (1.1430944 - nu)) / Sigma))"
33,0.0035462682,"(sqrt(sqrt(nu)) - nu) * (square((density * ((density + temperature) * 0.93574125)) - nu) + (((square((Sigma - -0.18646564) - temperature) + cube(0.7015999)) + (1.1430944 - nu)) / square(Sigma)))"
35,0.0034059188,"(square((density * (0.93574125 * (density + temperature))) - nu) + (((square(sqrt(cube(Sigma - -0.18646564)) - temperature) + sqrt(0.11898771)) + (1.1430944 - nu)) / square(Sigma))) * (sqrt(sqrt(nu)) - nu)"
