Complexity,Loss,Equation
1,0.42782548,"-0.76106393"
2,0.42782503,"cube(-0.91275376)"
3,0.27489638,"-0.011105167 * temperature"
4,0.22451651,"-0.00013584387 * square(temperature)"
5,0.21067387,"(-0.023391945 * temperature) - -0.9799006"
7,0.21067381,"(-0.023391945 * (temperature + 0.014368401)) - -0.9799006"
8,0.20485607,"((temperature - sqrt(density)) * -0.023492714) - LogP"
9,0.19540438,"(-0.023492714 * temperature) + exp(0.76997167 / cube(density))"
10,0.16568735,"exp((TPSA / density) / temperature) + (-0.023492714 * temperature)"
11,0.123584956,"exp(cube((TPSA / density) / temperature)) + (-0.023492714 * temperature)"
12,0.12358493,"exp(cube(TPSA / density) / cube(temperature)) + (-0.023492714 * temperature)"
13,0.11488859,"(-0.023492714 * temperature) + exp(square((TPSA / density) / (temperature * 0.8480578)))"
14,0.11069743,"(0.9291638 + (-0.023239035 * temperature)) + cube(TPSA / ((density * temperature) / 1.5666367))"
15,0.11043674,"(exp(-0.05517258) + (-0.023239035 * temperature)) + cube(TPSA / ((density * temperature) / 1.5666367))"
16,0.11007222,"(0.9291638 + (-0.023239035 * temperature)) + cube((TPSA - density) / ((density * temperature) / 1.5666367))"
17,0.09337723,"((-0.023239035 * temperature) + exp(-2.5451727 / density)) + cube(TPSA / (temperature * (density * 0.5863217)))"
18,0.091106735,"cube(TPSA / ((density * temperature) / 1.5323435)) + ((-0.021236548 * temperature) + square(exp(-2.5451727 / density)))"
19,0.08465041,"((temperature * -0.021236548) + cube(exp(-2.5451727 / density))) + cube(TPSA / ((cube(density) + temperature) / 1.5323435))"
20,0.08170851,"cube(TPSA / ((square(density) + temperature) / 1.5323435)) + ((-0.021236548 * temperature) + square(square(exp(-2.5451727 / density))))"
21,0.06714697,"cube((TPSA / ((cube(density) + temperature) / 1.5323435)) + 0.18813784) + ((-0.021236548 * temperature) + cube(exp(-2.5451727 / density)))"
22,0.066500716,"cube((TPSA / ((cube(density) + temperature) / 1.5300795)) + 0.18813784) + ((-0.021236548 * temperature) + square(square(exp(-2.1486094 / density))))"
24,0.065365486,"cube((TPSA / (((cube(density) / 1.9211642) + temperature) / 1.5300795)) + 0.18813784) + ((-0.021236548 * temperature) + square(square(exp(-2.1486094 / density))))"
26,0.06437985,"(cube((TPSA / (((cube(density) / 1.9211642) + temperature) / 1.5300795)) + 0.18813784) + ((-0.021236548 * temperature) + square(square(exp(-2.5451727 / density))))) / 1.0194515"
27,0.063975506,"(cube((TPSA / (((cube(density) / 1.9211642) + temperature) / 1.5300795)) + 0.18813784) + ((-0.021236548 * temperature) + square(square(exp(-2.5451727 / density))))) / square(1.0194515)"
29,0.0633312,"(cube((TPSA / (((cube(density) / 1.9211642) + temperature) / 1.5300795)) + 0.18813784) + ((-0.021236548 * temperature) + square(square(exp(-2.5451727 / (density + -0.8581736)))))) / square(1.0194515)"
30,0.06331458,"(cube((TPSA / (((cube(density) / 1.9211642) + temperature) / 1.5300795)) + 0.18813784) + ((-0.021236548 * temperature) + square(square(exp(-2.5451727 / (density - sqrt(0.7853509))))))) / square(1.0194515)"
32,0.06324988,"(cube((TPSA / (((cube(density) / 1.9211642) + temperature) / 1.5300795)) + 0.18813784) + ((-0.021236548 * temperature) + square(square(exp(-2.5451727 / (density - tan(0.7853509))))))) / square(1.0194515)"
33,0.06322924,"(cube((TPSA / (((cube(density) / 1.9211642) + temperature) / 1.5300795)) + 0.18813784) + ((temperature * -0.021236548) + square(square(exp(-2.5451727 / (density - cos(cube(0.4367377)))))))) / cube(1.0194515)"
34,0.06322618,"(cube((TPSA / (((cube(density) / 1.9211642) + temperature) / 1.5300795)) + 0.18813784) + ((temperature * -0.021236548) + square(square(exp(-2.5451727 / (density - cos(cube(cube(0.4367377))))))))) / cube(1.0194515)"
