Complexity,Loss,Equation
1,0.2873711,"-0.5128432"
2,0.2873683,"cube(-0.7995396)"
3,0.19126211,"0.057659548 - Epsilon"
4,0.18859927,"cube(nu / -1.6912667)"
5,0.10052034,"(1.0114744 - temperature) * Epsilon"
6,0.095473714,"sqrt(Epsilon) - (Epsilon * temperature)"
7,0.0678432,"0.3313927 + ((density - temperature) * Epsilon)"
8,0.059985004,"(Epsilon * (sqrt(density) - temperature)) - -0.23992082"
9,0.04954555,"(epsilon_AB - -0.2247398) * ((density + 0.545446) - temperature)"
10,0.03942677,"Epsilon * (1.2712318 - (temperature + square(Epsilon - density)))"
11,0.030406604,"(1.3338008 - temperature) * ((epsilon_AB / (density + 0.31865472)) - -0.30506185)"
12,0.024275638,"(1.4123732 - (temperature + square(density - Kappa_AB))) * (epsilon_AB - -0.254273)"
13,0.022423502,"(epsilon_AB - -0.26882997) * (1.3142538 - (square(square(epsilon_AB - density)) + temperature))"
14,0.018458834,"(1.3446283 - (square((density * 1.4081597) - Epsilon) + temperature)) * (epsilon_AB - -0.2562575)"
15,0.016296579,"(1.3338008 - (square(Epsilon - (density * sqrt(temperature))) + temperature)) * (Kappa_AB - -0.24381173)"
17,0.015630865,"(1.3446283 - (square(Epsilon - ((density + -0.031185614) * sqrt(temperature))) + temperature)) * (Kappa_AB - -0.24381173)"
18,0.013116683,"(((1.2873535 - (square((density * 1.4081597) - epsilon_AB) + temperature)) * (Kappa_AB - -0.14034824)) * temperature) / 1.9562072"
19,0.012858346,"(((1.3446283 - (square(Epsilon - (density * sqrt(temperature))) + temperature)) * (Kappa_AB - -0.17245741)) * temperature) / 1.9562072"
20,0.009738265,"(((1.3446283 - (square(Epsilon - (density * sqrt(exp(density)))) + temperature)) * (Kappa_AB - -0.17245741)) * temperature) / 1.9562072"
22,0.009574545,"(((1.3541921 - (temperature + square(((density * sqrt(temperature)) - Epsilon) * 1.0848947))) * (Kappa_AB - -0.17245741)) * sqrt(temperature)) / 1.3446283"
23,0.009302045,"(((1.3753077 - (square((sinh(density) * sqrt(temperature)) - Epsilon) + temperature)) * (Kappa_AB - -0.17245741)) * sqrt(temperature)) / 1.2841923"
24,0.008129501,"(((1.3446283 - (temperature + (exp(density) * square(sqrt(Epsilon) - (density * sqrt(temperature)))))) * (Kappa_AB - -0.17245741)) * sqrt(temperature)) / 1.3446283"
25,0.0074600643,"(((1.4057477 - (temperature + (square(sqrt(Epsilon) - (density * sqrt(temperature))) * (1.1130836 + density)))) * (Kappa_AB - -0.17245741)) * sqrt(temperature)) / 1.3446283"
26,0.0073158666,"(((cube(1.1130836) - (temperature + (square(sqrt(Epsilon) - (density * sqrt(temperature))) * (1.1130836 + density)))) * (Kappa_AB - -0.17245741)) * sqrt(temperature)) / 1.3446283"
27,0.0067987484,"(((Kappa_AB - -0.17245741) * (1.4057477 - (temperature + (square(sqrt(Epsilon) - (density * sqrt(temperature / 0.91680837))) * (1.1130836 + density))))) * sqrt(temperature)) / 1.3446283"
28,0.006278025,"(((1.3753077 - (temperature + ((0.88727266 + sqrt(density)) * square(sqrt(Epsilon) - ((density * sqrt(temperature)) * 1.0576376))))) * (Kappa_AB - -0.17245741)) * sqrt(temperature)) / 1.3446283"
29,0.006272396,"(((cube(1.1130836) - (temperature + ((0.88727266 + sqrt(density)) * square(sqrt(Epsilon) - ((density * sqrt(temperature)) * 1.0576376))))) * (Kappa_AB - -0.17245741)) * sqrt(temperature)) / 1.3446283"
30,0.0062017287,"(((cube(1.1130836) - (temperature + ((sqrt(Sigma) + sqrt(density)) * square(sqrt(Epsilon) - ((density * sqrt(temperature)) * 1.0576376))))) * (Kappa_AB - -0.17245741)) * sqrt(temperature)) / 1.3446283"
31,0.0061637107,"(((cube(1.1130836) - (temperature + ((square(Sigma) + sqrt(sqrt(density))) * square(sqrt(Epsilon) - ((density * sqrt(temperature)) * 1.0576376))))) * (Kappa_AB - -0.17245741)) * sqrt(temperature)) / 1.3446283"
33,0.006119417,"(((cube(1.1130836) - (temperature + ((square(Sigma) + (sqrt(sqrt(density)) - -0.036391754)) * square(sqrt(Epsilon) - ((density * sqrt(temperature)) / 0.9384559))))) * (Kappa_AB - -0.17245741)) * sqrt(temperature)) / 1.3446283"
34,0.006067688,"(((cube(1.1130836) - (temperature + ((square(Sigma) + sqrt(sqrt(density / 0.51006556))) * square(sqrt(Epsilon) - ((density * sqrt(temperature)) / 0.9384559))))) * (Kappa_AB - -0.17245741)) * sqrt(temperature)) / cube(1.1130836)"
