Complexity,Loss,Equation
1,0.19430128,"-0.41759273"
2,0.19429944,"cube(-0.74832195)"
3,0.1293429,"0.80048734 - nu"
4,0.12669452,"-0.2086405 * cube(nu)"
5,0.070047714,"(1.0748326 - temperature) * Epsilon"
6,0.060988843,"cube((1.1942387 / temperature) - nu)"
7,0.047295053,"cube((-0.1870215 * temperature) * exp(Epsilon))"
8,0.04569478,"(Sigma - nu) * (temperature - sqrt(density))"
9,0.03508765,"square(Epsilon) * (density - exp(-1.4869642 + temperature))"
11,0.034180135,"(Epsilon * (((density * Kappa_AB) - -1.3947436) - temperature)) - Kappa_AB"
12,0.029757721,"Epsilon * (Epsilon * ((Kappa_AB * density) - exp(-1.4869642 + temperature)))"
13,0.02463064,"((cos(Epsilon - density) - nu) * square(temperature)) * 0.3412333"
14,0.023379799,"(Epsilon * (cos(square(Epsilon - density)) - 1.1745597)) * square(temperature)"
15,0.012238436,"(square(temperature) + -1.0920448) * (cos(square(density - Epsilon)) - sqrt(nu))"
17,0.01191156,"(square(temperature) + -1.0920448) * (cos(square((Epsilon / 0.98370254) - density)) - sqrt(nu))"
18,0.01154345,"(((square(cos(square(Epsilon - density))) - nu) * square(temperature)) + epsilon_AB) / exp(Sigma)"
19,0.010051063,"((((square(cos(square(Epsilon - density))) - nu) * square(temperature)) + epsilon_AB) * 0.3817855) / Sigma"
20,0.0092046335,"(0.3957931 * ((square(temperature) * (square(cos(square(Epsilon - density))) - nu)) + square(Epsilon))) / Sigma"
22,0.009041454,"(0.3957931 * (square(Epsilon) + (square(temperature) * (square(cos(square(Epsilon - density)) / -1.0015442) - nu)))) / Sigma"
23,0.008975354,"(0.3943058 * (square(Epsilon) + (square(temperature) * (square(cos(square(Epsilon - density)) / square(-1.0015442)) - nu)))) / Sigma"
25,0.008867293,"(0.3957931 * (square(-1.0319912 * Epsilon) + (square(temperature) * (square(cos(square(Epsilon - density)) / cube(-1.0015442)) - nu)))) / Sigma"
27,0.008730221,"(((((square(cos(square(density - Epsilon))) - nu) * square(temperature)) + cube(Epsilon)) + ((density + -0.3711563) / exp(temperature))) * 0.3943058) / Sigma"
28,0.008593721,"(((((square(cos(square(density - Epsilon))) - nu) * square(temperature)) + cube(Epsilon)) + ((sqrt(density) + -0.5035982) / exp(temperature))) * 0.3943058) / Sigma"
29,0.008494726,"(((((square(cos(square(density - Epsilon))) - nu) * square(temperature)) + cube(Epsilon)) + ((density + (-0.5035982 / temperature)) / exp(temperature))) * 0.3943058) / Sigma"
30,0.00831002,"(((((square(cos(square(density - Epsilon))) - nu) * square(temperature)) + cube(Epsilon)) + ((density + cube(-0.9757149 / temperature)) / exp(temperature))) * 0.3943058) / Sigma"
31,0.007071296,"nu * (((temperature - 1.1711922) * tan(Epsilon)) * ((cos((cube(Epsilon * temperature) * square(-0.2086405)) - ((Epsilon - density) / Sigma)) - 1.1745597) * temperature))"
33,0.0068640406,"(nu * (((temperature - 1.1711922) * tan(Epsilon)) * ((cos((cube(Epsilon * temperature) * square(-0.2086405)) - ((Epsilon - density) / Sigma)) - 1.1711922) * temperature))) + -0.018129455"
35,0.0068208347,"(nu * (((temperature - 1.1711922) * tan(Epsilon)) * ((cos(((cube(Epsilon * temperature) * square(-0.2086405)) * 0.9773485) - ((Epsilon - density) / Sigma)) - 1.1711922) * temperature))) + -0.018129455"
