Complexity,Loss,Equation
1,0.19448109,"-0.4181792"
2,0.19448105,"cube(-0.7477948)"
3,0.13026981,"0.7997635 - nu"
4,0.12769185,"cube(nu) * -0.20871384"
5,0.070548154,"(1.0758357 - temperature) * Epsilon"
6,0.060985256,"cube((1.1792443 / temperature) - nu)"
7,0.048003126,"(1.1180582 - temperature) * (Kappa_AB - -0.2667655)"
8,0.046102233,"(Sigma - nu) * (temperature - sqrt(density))"
9,0.041526917,"(epsilon_AB - -0.22400133) * (density - (temperature + -0.5408407))"
10,0.03040906,"(1.3156507 - (temperature + square(Epsilon - density))) * Epsilon"
12,0.01864309,"(Kappa_AB - -0.2667655) * (1.4355284 - (temperature + square(density - epsilon_AB)))"
13,0.017134989,"(Kappa_AB - -0.2667655) * (1.2768152 - (temperature + square(square(density - epsilon_AB))))"
14,0.014571012,"(epsilon_AB - -0.2464056) * (1.4453211 - (temperature * cosh(density - epsilon_AB)))"
15,0.012897731,"(1.3127165 - (temperature * cosh(square(Kappa_AB - density)))) * (epsilon_AB - -0.2464056)"
17,0.01199587,"(1.3127165 - (temperature * cosh(square((Kappa_AB - density) / -0.97636783)))) * (epsilon_AB - -0.2464056)"
18,0.010776867,"(Kappa_AB - -0.21641383) * (sin((1.3649029 + (temperature - Kappa_AB)) * density) - (temperature + -0.33294258))"
20,0.00965215,"((Kappa_AB / 0.85546124) - -0.21641383) * (sin((1.3649029 + (temperature - Kappa_AB)) * density) - (temperature + -0.4071028))"
21,0.009079031,"((Kappa_AB / 0.8433045) - -0.21641383) * (sin((sqrt(temperature) + (temperature - Kappa_AB)) * density) - (temperature + -0.4563995))"
22,0.009059159,"((Kappa_AB / 0.8433045) - -0.21641383) * (sin((sqrt(temperature) + (temperature - cube(Epsilon))) * density) - (temperature + -0.4563995))"
23,0.007404724,"sinh((sin((((temperature - epsilon_AB) + Sigma) * density) - -0.31460923) - (temperature + -0.4071028)) * (Kappa_AB - -0.21641383))"
25,0.0073052733,"sinh((sin(((((temperature - epsilon_AB) + Sigma) + -0.059465934) * density) - -0.32549804) - (temperature + -0.4071028)) * (Kappa_AB - -0.21641383))"
26,0.007211601,"sinh((sin(epsilon_AB) - -0.22396457) * (sin((((temperature - epsilon_AB) + density) * density) + 0.3271089) - (temperature + -0.33367568)))"
27,0.0068477155,"sinh((sin(((temperature + (density - Kappa_AB)) * density) - -0.26209006) - ((-0.5645202 - (-0.18814605 * density)) + temperature)) * (Kappa_AB - -0.22396457))"
28,0.006309125,"sinh((sin(((temperature + (density - Kappa_AB)) * density) - -0.22400133) - ((-0.5645202 - (-0.29603967 * cube(density))) + temperature)) * (Kappa_AB - -0.22400133))"
30,0.00613529,"sinh((sin((((density - Kappa_AB) + temperature) * density) - -0.2217264) - ((-0.5645202 - (cube(density) * -0.27857995)) + temperature)) * (Kappa_AB - -0.2217264)) - 0.019780962"
31,0.0059328806,"sinh((Kappa_AB - -0.21641383) * (sin(((temperature + (density - epsilon_AB)) * density) - -0.2217264) - ((square(cube(density) * 0.64127576) + -0.5645202) + temperature))) - 0.021989064"
32,0.005925608,"sinh((Kappa_AB - -0.21641383) * (sin(((temperature + (density - epsilon_AB)) * density) - -0.2217264) - ((square(cube(density) * log(0.52098536)) + -0.5645202) + temperature))) - 0.021989064"
33,0.0058366326,"sinh((sin((((density - epsilon_AB) + temperature) * density) - -0.2217264) - ((-0.5645202 - (tan(cube(density)) * -0.24207364)) + temperature)) * (Kappa_AB - -0.21641383)) - 0.020724243"
34,0.0058273072,"sinh((sin((((density - cube(Epsilon)) + temperature) * density) - -0.2217264) - ((-0.5645202 - (tan(cube(density)) * -0.24207364)) + temperature)) * (Kappa_AB - -0.21641383)) - 0.020724243"
35,0.00574785,"sinh((sin((((density - epsilon_AB) + temperature) * (density - -0.008740328)) - -0.21641383) - ((-0.5645202 - (tan(cube(density)) * -0.24207364)) + temperature)) * (epsilon_AB - -0.21641383)) - 0.020724243"
