Complexity,Loss,Equation
1,0.06485466,"-0.3030568"
2,0.06483251,"cube(-0.67510915)"
3,0.02874659,"-0.011806105 * temperature"
5,0.028520416,"0.012671484 * (2.3854213 - temperature)"
6,0.027258087,"-0.011104708 * (log(MW) + temperature)"
7,0.023157006,"((4.8141646 - temperature) / LogP) / TPSA"
8,0.022631807,"sin((4.1134276 - temperature) / LogP)"
9,0.022628156,"sin((log(62.272583) - temperature) / LogP)"
10,0.021698674,"tan((5.779605 - temperature) / (LogP + 0.023612028))"
11,0.021172503,"((density * (-0.016814541 / (TPSA / temperature))) - temperature) * 0.0074323616"
12,0.015523209,"((temperature * cube(-0.016495971 / (TPSA / density))) - temperature) * 0.009320505"
14,0.014916411,"0.009320505 * ((temperature * cube(-0.016495971 / (TPSA / density))) - (temperature - 2.1945376))"
15,0.012771674,"tan(0.0086111035 * ((cube(-0.016105464 / (TPSA / density)) * temperature) - temperature))"
16,0.01277167,"tan(0.0086111035 * ((cube(-0.016105464 / (square(TPSA) / density)) * temperature) - temperature))"
17,0.01254906,"tan(0.0086111035 * ((cube(-0.016105464 / (TPSA / density)) * (temperature - 1.7224267)) - temperature))"
18,0.012519058,"tan(tan(0.0074323616 * ((temperature * cube(-0.016495971 / (TPSA / density))) - temperature)))"
19,0.012027245,"tan(0.0086111035 * (((temperature * cube(-0.016105464 / (TPSA / density))) - temperature) * 1.2007706)) * 0.76953816"
20,0.011992618,"tan(0.0086111035 * (((cube(-0.016105464 / (TPSA / density)) * temperature) + tan(MW)) - temperature))"
21,0.011243069,"tan(tan(((((-0.016495971 / (TPSA / temperature)) * density) - temperature) * 0.0074323616) + (0.072630435 / MW)))"
22,0.011083425,"tan(tan(0.0074323616 * (((-0.016814541 / (TPSA / temperature)) * density) - temperature))) / exp(0.3007651 / MW)"
23,0.011033349,"tan(tan(0.0074323616 * (((-0.016814541 / (cube(TPSA) / temperature)) * density) - temperature))) / exp(0.29367125 / MW)"
24,0.010885978,"tan(tan(0.0074323616 * (((-0.016495971 / ((TPSA - 0.05984436) / temperature)) * density) - temperature))) / exp(0.29367125 / MW)"
25,0.010058457,"tan(tan(((tan(-0.016495971 / (TPSA / temperature)) * density) - temperature) * 0.0074323616)) / exp(0.42847568 / MW)"
26,0.0098533435,"tan(tan(0.0074323616 * ((density * (((-0.016495971 / (TPSA / temperature)) - -0.08235824) / 0.7909292)) - temperature))) / exp(0.3007651 / MW)"
27,0.009644787,"tan(tan((((tan(-0.016495971 / (TPSA / temperature)) + 0.054568622) * density) - temperature) * 0.0074323616)) / exp(0.42847568 / MW)"
28,0.008730811,"tan(tan(0.0074323616 * (((-0.016814541 / (TPSA / temperature)) * density) - temperature))) / exp(square(square(cos(log(density)) / MW)))"
29,0.008579325,"tan(tan(0.0074323616 * (((-0.016814541 / (TPSA / temperature)) * density) - temperature))) / exp(square(cos(log(density) - -0.26715696) / MW))"
30,0.008360052,"tan(tan(0.0074323616 * (((-0.016814541 / (TPSA / temperature)) * density) - temperature))) / exp(square(square(cos(log(density + 1.2184963)) / MW)))"
31,0.00817379,"tan(tan(0.0074323616 * ((sinh(-0.016814541 / (TPSA / temperature)) * density) - temperature))) / exp(square(square(cos(log(density)) / MW)))"
32,0.007397821,"tan(tan(0.0074323616 * ((density * (((-0.016495971 / (TPSA / temperature)) - -0.08235824) / 0.7909292)) - temperature))) / exp(square(square(cos(log(density)) / MW)))"
33,0.0072775115,"tan(tan(0.0074323616 * ((density * (((-0.016495971 / (TPSA / temperature)) - -0.08235824) / 0.7909292)) - temperature))) / exp(square(cos(log(density * 1.2622055)) / MW))"
34,0.0071375007,"tan(tan(0.0074323616 * ((density * (((-0.016495971 / (TPSA / temperature)) - -0.08235824) / 0.7909292)) - temperature))) / exp(square(square(cos(log(density + TPSA)) / MW)))"
35,0.0070996312,"tan(tan(0.0074323616 * ((density * (((-0.016495971 / (TPSA / temperature)) - -0.08235824) / 0.7909292)) - temperature))) / exp(square(cos(log(density + TPSA) * -1.0529039) / MW))"
