Complexity,Loss,Equation
1,0.43335414,"-0.75628495"
2,0.43335018,"cube(-0.9102786)"
3,0.28038302,"-0.011035913 * temperature"
4,0.22973916,"square(temperature) * -0.00013473272"
5,0.21560891,"0.9773173 + (-0.02328246 * temperature)"
7,0.2156088,"(temperature * -0.023324078) + sqrt(exp(HallKierAlpha))"
8,0.20805,"(temperature * -0.023614785) + exp(0.5259917 / density)"
9,0.19163395,"(temperature * -0.023614785) + exp(cube(0.9505104 / density))"
10,0.16495772,"(temperature * -0.023614785) + exp((TPSA / temperature) / density)"
11,0.12567328,"(temperature * -0.023614785) + exp(cube((TPSA / temperature) / density))"
13,0.11464187,"(temperature * -0.023614785) + exp(square((-0.8802757 / (temperature * -0.023614785)) / density))"
14,0.09437326,"cube(exp(cos(temperature / TPSA) / density)) + (temperature * -0.02328246)"
16,0.0932502,"(cube(exp(cos(temperature / TPSA) / density)) - HallKierAlpha) + (temperature * -0.02328246)"
17,0.09233267,"(temperature * -0.02328246) + square(square(exp(cos(log(square(temperature))) / (density - -0.8557464))))"
18,0.07522722,"(temperature * -0.023614785) + square(exp(cos(log(temperature * (density * TPSA))) / sqrt(density)))"
19,0.06374046,"(temperature * -0.023614785) + square(exp(cos(log(temperature * (square(density) + temperature))) / sqrt(density)))"
20,0.056157842,"(-0.02328246 * temperature) + square(exp(cos(log(temperature * (exp(sqrt(density)) + temperature))) / sqrt(density)))"
21,0.046979353,"(-0.022644905 * temperature) + (square(exp(cos(log(temperature * (TPSA + square(density)))) / sqrt(density))) + -0.1789169)"
22,0.039808318,"square(exp(cos(log((temperature + density) * (temperature + exp(sqrt(density))))) / sqrt(density))) + (-0.02328246 * temperature)"
24,0.033140693,"(-0.02328246 * temperature) + square(exp(cos(log(((temperature * 0.8117824) + density) * (temperature + exp(sqrt(density))))) / sqrt(density)))"
26,0.032224126,"(-0.02328246 * temperature) + square(exp(cos(log(((temperature * 0.8117824) + density) * (temperature + (exp(sqrt(density)) + density)))) / sqrt(density)))"
28,0.031519793,"(-0.02328246 * temperature) + square(exp(cos(log(((temperature * 0.8117824) + density) * (temperature + (exp(sqrt(density)) + density)))) / (sqrt(density) - 0.04364861)))"
30,0.030849988,"(-0.02328246 * temperature) + square(exp(cos(log(((temperature * 0.8117824) + density) * (temperature + (exp(sqrt(density)) + cube(log(density + density)))))) / sqrt(density)))"
32,0.030627213,"(-0.02328246 * temperature) + square(exp(cos(log(((temperature * 0.8117824) + density) * (temperature + (exp(sqrt(density)) + cube(log((density / 0.3847098) + -0.7127897)))))) / sqrt(density)))"
