Complexity,Loss,Equation
1,0.19363455,"-0.42002735"
2,0.19362889,"cube(-0.7474417)"
3,0.12993245,"0.79936826 - nu"
4,0.12744206,"-0.20888329 * cube(nu)"
5,0.07019862,"(1.0801404 - temperature) * Epsilon"
6,0.06448538,"log(temperature) * (-0.44265634 - epsilon_AB)"
7,0.04820832,"(-0.27777165 - epsilon_AB) * (temperature - 1.138119)"
8,0.04634956,"square(epsilon_AB - temperature) * (-0.055000186 - Kappa_AB)"
9,0.04195462,"(-0.22336982 - epsilon_AB) * ((temperature - 0.54030526) - density)"
10,0.031509105,"square(log(temperature)) * (-0.42611018 - sqrt(epsilon_AB / density))"
11,0.025398862,"square(log(temperature)) * (-0.42611018 - (epsilon_AB / (density + 0.20694332)))"
12,0.02148855,"((temperature - 1.3232461) * (-0.19862984 - Kappa_AB)) - square(density - Epsilon)"
13,0.013672311,"((-0.19862984 - Kappa_AB) * (temperature - 1.3232461)) * exp(square(density - epsilon_AB))"
14,0.012847129,"((-0.21685025 - Kappa_AB) * (temperature - 1.2289797)) * exp(square(square(density - Kappa_AB)))"
15,0.01221641,"(((-0.22042918 - Kappa_AB) * (temperature - 1.2289797)) / 1.1770675) * exp(square(density - Kappa_AB))"
16,0.012215756,"(((-0.22042918 - Kappa_AB) * (temperature - 1.2289797)) / sqrt(1.3596882)) * exp(square(density - Kappa_AB))"
17,0.011468708,"((-0.2081585 - (Kappa_AB / 1.0801404)) * (temperature - 1.2289797)) * exp(cube(sqrt(square(density - epsilon_AB))))"
19,0.011450137,"((-0.2081585 - (Kappa_AB / 1.0801404)) * (temperature - 1.2289797)) * exp(cube(sqrt(square((density - 0.0052764476) - epsilon_AB))))"
20,0.010918568,"((-0.19862984 - Kappa_AB) * (temperature - 1.2289797)) * (exp(cube(sqrt(square(density - epsilon_AB)))) - cube(Sigma / temperature))"
22,0.010053201,"(((-0.20870218 - epsilon_AB) * (temperature - 1.2289797)) * (exp(cube(sqrt(square(density - epsilon_AB)))) - square(Sigma / temperature))) + -0.03565027"
23,0.010020898,"(((-0.20870218 - epsilon_AB) * (temperature - 1.2289797)) * (exp(cube(sqrt(square(density - epsilon_AB)))) - square(square(Sigma) / temperature))) + -0.025210565"
24,0.00977509,"((((-0.19857544 / Sigma) - epsilon_AB) * (temperature - 1.2289797)) * (exp(cube(sqrt(square(density - epsilon_AB)))) - square(Sigma / temperature))) + -0.025210565"
25,0.007892762,"((-0.1897086 - epsilon_AB) * (temperature - (0.3881026 + cube(sin(exp(density) / 1.2746413))))) * cosh((density * 1.5731474) - epsilon_AB)"
26,0.006174265,"cosh((sqrt(temperature) * density) - Kappa_AB) * ((-0.17442663 - Kappa_AB) * (temperature - (cube(sin(exp(density) / 1.2644299)) - -0.38951403)))"
27,0.006123775,"((-0.17442663 - Kappa_AB) * (temperature - (cube(sin(exp(density) / sqrt(1.5731474))) + 0.3881026))) * cosh((sqrt(temperature) * density) - Kappa_AB)"
28,0.005997162,"((-0.17442663 - epsilon_AB) * (temperature - (0.3881026 + cube(sin(exp(density) / 1.2773764))))) * cosh((density * sqrt(temperature + epsilon_AB)) - epsilon_AB)"
29,0.005929466,"((-0.17442663 - Kappa_AB) * (temperature - (0.3950237 + cube(sin(exp(density) / 1.2773764))))) * cosh((sqrt(temperature * nu) * density) - cube(Epsilon))"
30,0.0057138395,"((-0.17442663 - (Kappa_AB / 0.8887865)) * (temperature - (cube(sin(exp(density) / 1.2644299)) + 0.3950237))) * cosh((sqrt(temperature) * density) - (Sigma * Kappa_AB))"
31,0.005636712,"((-0.17442663 - (Kappa_AB / 0.8887865)) * (temperature - (cube(sin(exp(density) / 1.2644299)) + 0.3950237))) * cosh((sqrt(temperature) * density) - sin(Kappa_AB))"
32,0.0055871033,"((-0.17442663 - (Kappa_AB / 0.88306457)) * (temperature - ((0.3950237 + cube(sin(exp(density) / 1.2644299))) + 0.032097653))) * cosh((sqrt(temperature) * density) - (Kappa_AB * 0.8887865))"
33,0.005545243,"((-0.17442663 - (Kappa_AB / 0.8887865)) * ((temperature - 0.015761368) - (cube(sin(exp(density) / 1.2644299)) + 0.3950237))) * cosh((sqrt(temperature) * density) - sin(Kappa_AB))"
34,0.0054100724,"((-0.17442663 - (Kappa_AB / 0.88306457)) * (temperature - ((0.3950237 + cube(sin(exp(density) / 1.2644299))) + (0.032097653 * Kappa_AB)))) * cosh((sqrt(temperature) * density) - (Kappa_AB * 0.8887865))"
