Complexity,Loss,Equation
1,0.17493561,"-0.9713863"
3,0.13808107,"-0.0012637295 * temperature"
4,0.10932635,"cube(temperature) * -1.9968698e-9"
6,0.10792536,"1.6854524e-6 * (density - square(temperature))"
7,0.08187398,"-0.55477875 - square(cos(density / 2.728441))"
9,0.08147322,"-0.5618055 - square(cos(density / 2.728441) / 1.0173428)"
10,0.016646694,"(cos(temperature) / -1.0718292) - square(cos(density / 2.728441))"
11,0.015313932,"tan(cos(temperature) / -1.2422947) - square(cos(density / 2.728441))"
12,0.01523977,"tan(cos(temperature) / cube(-1.0791881)) - square(cos(density / 2.728441))"
13,0.013821406,"((-0.24614108 - square(cos(temperature))) - square(cos(density / 2.728441))) / 1.1225747"
14,0.01377688,"(cube(0.1872516) - cos(temperature)) - square(cos((density - cos(temperature)) / 2.7284071))"
15,0.010080173,"(0.046760973 - cos(temperature)) - square(cos(((density - -0.6321097) - cos(temperature)) / 2.7284434))"
16,0.008545803,"(-0.11832549 - square(cos(temperature))) - square(cos(((density - -0.6321097) - cos(temperature)) / 2.7284434))"
17,0.008103584,"tan(cos(temperature) / cube(-1.0774515)) - square(cos((cos(temperature) - (density - -0.6328993)) / 2.7284434))"
18,0.0076541924,"((-0.23860343 - square(cos(temperature))) - square(cos((density - cos(0.7408495 + temperature)) / 2.7284434))) / 1.1225747"
19,0.00738107,"(-0.11832549 - square(cos(temperature))) - square(cos((square(cos(temperature)) - (density - -0.615203)) / 2.7284434) - 0.03448239)"
20,0.0072760144,"(log(0.87658244) - square(cos(temperature))) - square(cos(((density - -0.61102396) - square(cos(temperature))) / 2.7284434) - 0.03448239)"
