Complexity,Loss,Equation
1,0.006544499,"0.5941132"
4,0.0034675559,"exp(-0.27828923 - temperature)"
5,0.0028771071,"(-0.39739445 * temperature) - -0.697017"
6,0.0028665303,"sin(sin(exp(-0.114135265 - temperature)))"
8,0.002366811,"((temperature * -0.39080262) / cos(Melting_Point)) - -0.7110815"
9,0.0022973279,"((temperature * -0.39080262) / sinh(cos(Melting_Point))) - -0.7110815"
10,0.002107954,"sin(sin(sin(cosh(cos(cube(Molecular_Weight))) - sinh(temperature))))"
11,0.0018336788,"sin(sin(sin(sqrt(cosh(density + cos(Molecular_Weight))) - temperature)))"
12,0.0016399806,"sin(sin(sqrt(cosh(density + cos(Molecular_Weight))) - temperature)) / 1.0988667"
13,0.0013504782,"sin(sin(sin(cosh(sin(density + cos(Molecular_Weight))) - (temperature * 1.2021343))))"
14,0.001236959,"sin(sin(sin(sqrt(cosh(cos(Molecular_Weight) + density)) - (temperature * cosh(density)))))"
15,0.001122717,"sin(sin(sin(cosh((cos(Molecular_Weight) + density) / -1.3703431) - (temperature * cosh(density)))))"
16,0.0009656435,"sin(sin(sin(sqrt(cosh(sinh(density + cos(Molecular_Weight)))) - (temperature * cosh(tan(density))))))"
17,0.0009603614,"sin(sin(sin(sqrt(cosh(sinh(sin(density) + cos(Molecular_Weight)))) - (temperature * cosh(tan(density))))))"
18,0.0008587597,"sin(sin(sin(sqrt(cosh(sinh(density + cos(Molecular_Weight)))) - (temperature * cosh(tan(density) * -1.0892385)))))"
20,0.0008525189,"sin(sin(sin(sqrt(cosh(sinh((density + cos(Molecular_Weight)) + 0.008327727))) - (temperature * cosh(tan(density) * 1.0893276)))))"
21,0.0006182255,"sin(sin(sin((square(cosh(sin(cos(Molecular_Weight) + (density * (sin(Melting_Point + density) + temperature))))) / 1.4404736) - temperature)))"
22,0.0005982995,"sin(sin(sin((sinh(cosh(sin(cos(Molecular_Weight) + ((temperature + sin(tan(density) + Melting_Point)) * density)))) / 1.4832124) - temperature)))"
23,0.0005192378,"sin(sin(sin(sin(sinh((square(cosh(sin(cos(Molecular_Weight) + (density * (temperature + sin(density + Melting_Point)))))) / 1.4167464) - temperature)))))"
24,0.00045623037,"sin(sin(sin(sin(sinh(sinh((square(cosh(sin(cos(Molecular_Weight) + (density * (sin(density + Melting_Point) + temperature))))) / 1.4832124) - temperature))))))"
25,0.0004371886,"sin(sin(sin(sin(sinh(sinh((square(cosh(sin(cos(Molecular_Weight) + (density * (sinh(sin(density + Melting_Point)) + temperature))))) / 1.4832124) - temperature))))))"
26,0.00040724565,"sin(sin(sin(sin(sinh(sinh((square(cosh(sin(cos(Molecular_Weight) + (density * (sin(temperature) + sin(tan(density + Melting_Point))))))) / 1.4832124) - temperature))))))"
27,0.0003976949,"sin(sin(sin(sin(sinh(sinh((square(cosh(sin((sin(sinh(temperature) + sinh(tan(density + Melting_Point))) * density) + cos(Molecular_Weight)))) / 1.4832124) - temperature))))))"
28,0.00038318112,"sin(sin(sin(sin(sinh(sinh((square(cosh(sin((sin(temperature + sinh(tan(sin(tan(density + Melting_Point))))) * density) + cos(Molecular_Weight)))) / 1.4832124) - temperature))))))"
29,0.00037815006,"sinh(sin(sin(sin(sin(sin(sinh(sinh((square(cosh(sin((sin(sinh(temperature) + sinh(tan(density + Melting_Point))) * density) + cos(Molecular_Weight)))) / 1.4832124) - temperature))))))))"
30,0.00035311258,"sinh(sin(sin(sin(sin(sin(sinh(sinh((square(cosh(sin((sin(temperature + sinh(tan(sin(tan(density + Melting_Point))))) * density) + cos(Molecular_Weight)))) / 1.4832124) - temperature))))))))"
