,Epsilon,Kappa_AB,Sigma,density,nu,temperature
pySR_w_all_add_features_manual_normalized_n_iter500_2330,0.563000872787406,,,0.237944853988587,,0.199054273224007
pySR_all_add_features_manual_normalized_n_iter500_1655,,0.278038001890851,0.0648032492286127,0.355293081896478,0.126661163157354,0.175204503826704
pySR_all_add_features_manual_normalized_n_iter500_1821,0.172922484521187,,0.394423881561302,0.350237487609041,,0.0824161463084698
pySR_all_add_features_manual_normalized_n_iter500_1718,,,0.204000876975631,0.256459585701471,0.402844919504322,0.136694617818576
pySR_all_add_features_manual_normalized_n_iter500_1741,,0.331192606471723,,0.461936738925734,,0.206870654602543
pySR_all_add_features_manual_normalized_n_iter500_1805,,0.251916326022234,0.207390174445817,0.275401568404192,0.109910940912180,0.155380990215576
