complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
1,0.4999999993943067,76404,0,-0.3072480119298898,-0.3072480119298898,1.0000000048455466,1.0000000048455466,False
3,0.6009558758232051,699,0,-1.2031443581897638*x2,"mul,x2,-1.2031443581897638",0.4409168224948494,0.4409168224948494,False
5,0.6113400761699623,2,0,x2*(-x1 - 0.832216557716593),"mul,x2,sub,-0.832216557716593,x1",0.40417904087573986,0.40417904087573986,False
7,0.6217170801182438,1,0,(0.06478148044225886 - x2)*(x4 + 1.0509045843610747),"mul,sub,0.06478148044225886,x2,add,1.0509045843610747,x4",0.370209763213651,0.370209763213651,False
8,0.6241386044206826,1,0,x2*(cos(x4) - 2.0072811655901255),"mul,sub,cos,x4,2.0072811655901255,x2",0.3626547355614904,0.3626547355614904,False
9,0.6292834401240753,1,0,x2*(-0.590890688706975*x2 - 0.590890688706975*x4 - 0.68386859454048683),"mul,x2,mul,0.590890688706975,sub,sub,-1.1573521255462191,x4,x2",0.3470494545999064,0.3470494545999064,False
10,0.6430386794105489,1,0,-1.4321606972559515*x2*cos(x1 - x5),"mul,mul,x2,-1.4321606972559515,cos,sub,x5,x1",0.3081542241345287,0.3081542241345287,False
20,0.6441130234142615,1,0,tanh(1.4238997919521585*cos(x1 + 2.8224730589366707*x2 - 6.9007245942718662) - 1.5240166767946639),"tanh,mul,add,-1.070311749048889,cos,sub,add,mul,2.8224730589366707,sub,x2,1.837246657842316,x1,1.7151453998904898,1.4238997919521585",0.30528117923955866,0.30528117923955866,False
22,0.6534436285913279,1,0,-0.11808470715401022*x4 - (x2 - 0.08980413796496607)*(x2 + tanh(x1) + 0.8287523544644798) + sin(x3),"sub,sin,x3,sub,mul,add,sub,tanh,x1,-0.8287523544644798,x2,sub,x2,0.08980413796496607,mul,-0.11808470715401022,x4",0.2812752504067472,0.2812752504067472,False
24,0.6702216040488431,1,0,-(1.226308503127221 - x2)*sin(x1*(3.8913357288446524*x2*x5 + x2 + 1.0925572436499469) - 2.1192750275199193) - 1.1794101866441726,"add,mul,sin,sub,2.1192750275199193,mul,add,add,1.0925572436499469,mul,1.9456678644223262,mul,add,x5,x5,x2,x2,x1,sub,1.226308503127221,x2,-1.1794101866441726",0.2421071173473876,0.2421071173473876,False
25,0.6778394187564643,1,0,x2*(-6.5439584736049285*x2*sin(x1)*sin(2.4821896002336548*x5 + 0.075441964767383587) - 0.7044230496860439),"mul,x2,add,-0.7044230496860439,mul,mul,x2,mul,6.5439584736049285,sin,sub,sub,1.3081839844426182,0.6918129746050009,add,mul,2.4821896002336548,x5,0.6918129746050009,sin,x1",0.22588695876607293,0.22588695876607293,False
37,0.6842855323957475,1,0,0.6088760533494713*x1*cos(2.3355203110200385*x1*exp(1.6337698814842*x2))*cos(sin(x2)) - 1.1270486649130442*x2,"add,sub,sub,mul,0.6088760533494713,mul,mul,cos,mul,exp,mul,add,x2,cos,1.0248950338296028,1.6337698814842,x1,x1,cos,sin,x2,x2,mul,1.1270486649130442,x2,x2",0.2128698978894874,0.2128698978894874,False
38,0.7109509292801623,1,0,(x1 - x5 + (0.013512913903863963 - 1.1938050898541629*x5)*(-0.9184707440011938*x5 + 0.9184707440011938*sin(5.668053596660611*x1 - 2.513386031434131)) - 1.768525928278862)*sin(x2),"mul,sub,mul,add,0.013512913903863963,mul,sub,mul,sub,0.8444419474039143,1.1555568518707313,0.9735984274057123,sin,1.099331887904048,x5,mul,add,sin,mul,sub,0.4434301808498983,x1,5.668053596660611,x5,-0.9184707440011938,sub,sub,x5,-1.768525928278862,x1,sin,x2",0.1652965931085251,0.1652965931085251,False
40,0.7120282782550542,1,0,1.120971095094328*exp(0.05853658047069296*x5 + cos(sin(-x2 + x3 + 2.124542256242648 + 1/(x1 + 0.6099213558729699)))) - sin(x2 - 0.2704596380574339) - 3.35801672361532,"sub,sub,add,-0.6790131094795083,exp,add,mul,0.05853658047069296,x5,add,0.0570976770234743,add,0.05709768180487739,cos,sin,add,x3,sub,add,inv,add,x1,0.6099213558729699,2.124542256242648,x2,2.679003614135812,sin,add,x2,-0.2704596380574339",0.16357058313193326,0.16357058313193326,False
43,0.7180324035860473,1,0,-5.241110895380714*x2 + 5.241110895380714*x5*sin((x2 - 0.09581625816644511)*(-0.660125264680991*x1 - 0.330062632340495*x4 + 0.023526639789078867*x5 + 0.05029086257965183)) + 5.241110895380714*tanh(x2) - 0.085723169211297381,"mul,mul,add,x2,sub,0.01635591593508354,add,tanh,x2,mul,sin,mul,sub,sub,mul,x5,0.023526639789078867,mul,sin,0.701276132164068,mul,add,x1,add,x4,x1,0.511571776098815,-0.05029086257965183,add,x2,-0.09581625816644511,x5,-1.9627958893673445,add,1.33511358052366,1.33511358052366",0.15420921173789018,0.15420921173789018,False
47,0.75058402463807,1,0,cos((x1 - 11.250282102399414)*sin(x2*(sin(sin((x1 - sin(x3))*sin(cos(x2))) + 1.6927515118618028) + 12.324823563463456/(x4*x5 - 10.6217081992452))) - 0.22288564189137658) - 1.090471617922579,"sub,cos,add,-0.22288564189137658,mul,sin,mul,x2,add,sin,add,sin,mul,sin,cos,x2,sub,x1,sin,x3,1.6927515118618028,div,12.324823563463456,sub,mul,x5,x4,10.6217081992452,sub,x1,11.250282102399414,1.090471617922579",0.1104205486604875,0.1104205486604875,False
73,0.7786700111961908,1,0,(x3 - sin(x3) - 5.619622632180457)*tanh(-0.8791053686444378*(-x1 - 0.9999251943149721)*(exp(x2)*sin(sin(x1*x5)) + 1.6694093593098436*sin(x2 + (exp(sin(sin(x2) - 1.6944673773237238)) - 0.030263129579249627)*tanh(x4) - 1.1303890630215356)) - 0.7677809528378298) - 5.484687638932544,"add,mul,tanh,mul,0.8791053686444378,sub,-0.8733662427994633,mul,sub,tanh,-5.096863224921549,x1,add,mul,sin,sin,mul,x1,x5,exp,x2,mul,sin,add,mul,sub,exp,sin,add,sin,x2,-1.6944673773237238,0.030263129579249627,tanh,x4,sub,x2,1.1303890630215356,1.6694093593098436,sub,x3,add,sin,x3,5.619622632180457,-5.484687638932544",0.08079297977465504,0.08079297977465504,False
82,0.7874321061960214,1,0,x2*(x1 + (0.09969574140318918*x2*(-(x2 - 38.924104821546514)*tanh(x2) + 26.32020451055507) + 1.4902401368297555)*(exp(x1)*exp(0.7772822188217346*exp(-sin(x1 + x5 - 0.78487983404650736)))*cos(2.70791974577728*sin(x3) + sin(x5) + 2.0037214844879314) + 1.7362963644274538) - 0.12410570172552413),"mul,x2,add,-0.12410570172552413,add,mul,add,mul,mul,exp,mul,exp,sin,sub,sin,1.2749126239407933,add,x1,sub,x5,-0.17166500707451565,0.7772822188217346,exp,x1,cos,sub,sin,x5,sub,sub,mul,-1.30694929120939,sin,sin,-4.9570914806795106,0.9254829699250726,mul,sin,x3,2.70791974577728,1.7362963644274538,add,mul,0.09969574140318918,mul,x2,sub,26.32020451055507,mul,tanh,x2,add,-38.924104821546514,x2,1.4902401368297555,x1",0.07287341165072143,0.07287341165072143,False
