density,temperature,delta_phi,substance_argon,substance_methane,substance_water
0.001,280,87.36899299002854,0,0,1
56000.0,280,0.0252285425488747,0,0,1
0.001,330,32.17593225936558,0,0,1
54868.686888888886,330,0.0593111904080271,0,0,1
55434.34344444444,330,0.0600306371013134,0,0,1
56000.0,330,0.0600484711622761,0,0,1
0.001,380,14.565726077020486,0,0,1
53171.71722222221,380,0.0786119700866746,0,0,1
53737.37377777777,380,0.076749798328754,0,0,1
54303.03033333333,380,0.0741242902351858,0,0,1
54868.686888888886,380,0.0706867608330251,0,0,1
55434.34344444444,380,0.0663860836705118,0,0,1
56000.0,380,0.0611686291464814,0,0,1
0.001,430,7.269870355866835,0,0,1
50909.09099999999,430,0.0832364901537181,0,0,1
51474.74755555555,430,0.0800558649670364,0,0,1
52040.40411111111,430,0.0760694802485383,0,0,1
52606.06066666666,430,0.0712324410528878,0,0,1
53171.71722222221,430,0.0654967969212888,0,0,1
53737.37377777777,430,0.0588115197019861,0,0,1
54303.03033333333,430,0.0511224539534466,0,0,1
54868.686888888886,430,0.0423722455849976,0,0,1
55434.34344444444,430,0.0325002533451547,0,0,1
56000.0,430,0.0214424465611404,0,0,1
0.001,480,3.6951949543094216,0,0,1
48080.808222222215,480,0.0713394981845151,0,0,1
48646.46477777777,480,0.0683455080184946,0,0,1
49212.12133333333,480,0.0645294667189297,0,0,1
49777.777888888886,480,0.0598539680601108,0,0,1
50343.43444444444,480,0.0542783996841759,0,0,1
50909.09099999999,480,0.0477589358640111,0,0,1
51474.74755555555,480,0.0402485046011662,0,0,1
52040.40411111111,480,0.0316967332848355,0,0,1
52606.06066666666,480,0.0220498768904721,0,0,1
53171.71722222221,480,0.0112507322383007,0,0,1
53737.37377777777,480,-0.0007614588221735,0,0,1
54303.03033333333,480,-0.0140511152235626,0,0,1
54868.686888888886,480,-0.0286864302570738,0,0,1
55434.34344444444,480,-0.0447394925258025,0,0,1
56000.0,480,-0.0622864146723725,0,0,1
0.001,530,1.7301081749645582,0,0,1
565.6575555555555,530,0.9743834928105672,0,0,1
1131.314111111111,530,0.3675724853530993,0,0,1
44121.21233333333,530,0.0369541969614665,0,0,1
44686.86888888889,530,0.0364686823025822,0,0,1
45252.52544444444,530,0.0351929099868347,0,0,1
45818.18199999999,530,0.0331013859129702,0,0,1
46383.83855555555,530,0.0301655808853481,0,0,1
46949.49511111111,530,0.0263539684187369,0,0,1
47515.151666666665,530,0.0216320361180388,0,0,1
48080.808222222215,530,0.015962272792828,0,0,1
48646.46477777777,530,0.0093041332161062,0,0,1
49212.12133333333,530,0.001613982660947,0,0,1
49777.777888888886,530,-0.0071549763202144,0,0,1
50343.43444444444,530,-0.0170527921810921,0,0,1
50909.09099999999,530,-0.0281328650100409,0,0,1
51474.74755555555,530,-0.040452056967182,0,0,1
52040.40411111111,530,-0.0540708103726593,0,0,1
52606.06066666666,530,-0.0690532718063535,0,0,1
53171.71722222221,530,-0.085467421183529,0,0,1
53737.37377777777,530,-0.1033852054094017,0,0,1
54303.03033333333,530,-0.1228826768475112,0,0,1
54868.686888888886,530,-0.1440401374271189,0,0,1
55434.34344444444,530,-0.1669422897453228,0,0,1
56000.0,530,-0.191678396974358,0,0,1
0.001,580,0.5527736580559819,0,0,1
565.6575555555555,580,0.1757337052211976,0,0,1
1131.314111111111,580,-0.1357347869125049,0,0,1
1696.9706666666666,580,-0.3935505294904354,0,0,1
2262.6272222222224,580,-0.6068804822894939,0,0,1
2828.2837777777777,580,-0.7832423467628042,0,0,1
39030.30333333333,580,-0.04239928742831,0,0,1
39595.95988888889,580,-0.0383160281956079,0,0,1
40161.61644444444,580,-0.0349761252301038,0,0,1
40727.273,580,-0.0323918910558327,0,0,1
41292.92955555555,580,-0.0305783754555196,0,0,1
41858.58611111111,580,-0.0295532987441672,0,0,1
42424.242666666665,580,-0.0293370081627158,0,0,1
42989.899222222215,580,-0.029952449754254,0,0,1
43555.55577777777,580,-0.0314251522197783,0,0,1
44121.21233333333,580,-0.0337832220477889,0,0,1
44686.86888888889,580,-0.0370573508111938,0,0,1
45252.52544444444,580,-0.0412808361519424,0,0,1
45818.18199999999,580,-0.0464896178903432,0,0,1
46383.83855555555,580,-0.0527223301716331,0,0,1
46949.49511111111,580,-0.0600203698270914,0,0,1
47515.151666666665,580,-0.0684279803699401,0,0,1
48080.808222222215,580,-0.0779923503932042,0,0,1
48646.46477777777,580,-0.0887637246651406,0,0,1
49212.12133333333,580,-0.1007955259597678,0,0,1
49777.777888888886,580,-0.1141444856142093,0,0,1
50343.43444444444,580,-0.1288707809465102,0,0,1
50909.09099999999,580,-0.1450381779621515,0,0,1
51474.74755555555,580,-0.1627141781830733,0,0,1
52040.40411111111,580,-0.1819701689071009,0,0,1
52606.06066666666,580,-0.2028815767146965,0,0,1
53171.71722222221,580,-0.2255280245482455,0,0,1
53737.37377777777,580,-0.2499934931773068,0,0,1
54303.03033333333,580,-0.276366488309743,0,0,1
54868.686888888886,580,-0.3047402150044883,0,0,1
55434.34344444444,580,-0.3352127613803357,0,0,1
56000.0,580,-0.3678872938959017,0,0,1
0.001,630,-0.2046306732641106,0,0,1
565.6575555555555,630,-0.4008559764223607,0,0,1
1131.314111111111,630,-0.5654013311859231,0,0,1
1696.9706666666666,630,-0.7026498646663969,0,0,1
2262.6272222222224,630,-0.8162227271654704,0,0,1
2828.2837777777777,630,-0.9091865305707943,0,0,1
3393.940333333333,630,-0.9841854848563598,0,0,1
3959.596888888889,630,-1.043528694492987,0,0,1
4525.2534444444445,630,-1.0892498088587903,0,0,1
5090.91,630,-1.1231491950859278,0,0,1
5656.566555555555,630,-1.1468248743519562,0,0,1
6222.223111111111,630,-1.1616961672872792,0,0,1
6787.879666666667,630,-1.1690226033677271,0,0,1
7353.536222222222,630,-1.1699197839846016,0,0,1
30545.455,630,-0.2468255876141269,0,0,1
31111.111555555555,630,-0.2339039753173439,0,0,1
31676.768111111112,630,-0.2216840192468022,0,0,1
32242.424666666662,630,-0.2101591833898248,0,0,1
32808.081222222216,630,-0.1993253793758934,0,0,1
33373.73777777777,630,-0.1891809113268542,0,0,1
33939.39433333333,630,-0.1797263935412921,0,0,1
34505.05088888889,630,-0.1709646403496397,0,0,1
35070.70744444444,630,-0.1629005473226129,0,0,1
35636.363999999994,630,-0.1555409865037584,0,0,1
36202.02055555555,630,-0.1488947320187963,0,0,1
36767.67711111111,630,-0.1429724226216974,0,0,1
37333.333666666666,630,-0.1377865589356979,0,0,1
37898.990222222215,630,-0.1333515275177611,0,0,1
38464.64677777777,630,-0.1296836417501858,0,0,1
39030.30333333333,630,-0.1268011901839647,0,0,1
39595.95988888889,630,-0.1247244852079862,0,0,1
40161.61644444444,630,-0.1234759077747152,0,0,1
40727.273,630,-0.1230799466607346,0,0,1
41292.92955555555,630,-0.123563232977561,0,0,1
41858.58611111111,630,-0.1249545722143823,0,0,1
42424.242666666665,630,-0.1272849769817884,0,0,1
42989.899222222215,630,-0.1305877039151889,0,0,1
43555.55577777777,630,-0.134898298006203,0,0,1
44121.21233333333,630,-0.1402546470990083,0,0,1
44686.86888888889,630,-0.1466970485479288,0,0,1
45252.52544444444,630,-0.154268289205674,0,0,1
45818.18199999999,630,-0.163013739099828,0,0,1
46383.83855555555,630,-0.1729814584349499,0,0,1
46949.49511111111,630,-0.1842223169812004,0,0,1
47515.151666666665,630,-0.1967901245047445,0,0,1
48080.808222222215,630,-0.2107417706675048,0,0,1
48646.46477777777,630,-0.2261373727660873,0,0,1
49212.12133333333,630,-0.2430404297714377,0,0,1
49777.777888888886,630,-0.2615179813457116,0,0,1
50343.43444444444,630,-0.2816407708223533,0,0,1
50909.09099999999,630,-0.303483411508699,0,0,1
51474.74755555555,630,-0.3271245560818059,0,0,1
52040.40411111111,630,-0.3526470692723172,0,0,1
52606.06066666666,630,-0.3801382044496278,0,0,1
53171.71722222221,630,-0.4096897851168609,0,0,1
53737.37377777777,630,-0.4413983926878065,0,0,1
54303.03033333333,630,-0.4753655622406566,0,0,1
54868.686888888886,630,-0.5116979882222931,0,0,1
55434.34344444444,630,-0.5505077423133232,0,0,1
56000.0,630,-0.5919125058574362,0,0,1
0.001,680,-0.7246089948449853,0,0,1
565.6575555555555,680,-0.8285357801054103,0,0,1
1131.314111111111,680,-0.9154150091915207,0,0,1
1696.9706666666666,680,-0.9871912872313474,0,0,1
2262.6272222222224,680,-1.0455787788399298,0,0,1
2828.2837777777777,680,-1.092104959554473,0,0,1
3393.940333333333,680,-1.1281407805937187,0,0,1
3959.596888888889,680,-1.1549220543145944,0,0,1
4525.2534444444445,680,-1.173565097991811,0,0,1
5090.91,680,-1.1850786124986277,0,0,1
5656.566555555555,680,-1.1903731048106998,0,0,1
6222.223111111111,680,-1.1902687289119638,0,0,1
6787.879666666667,680,-1.185502128699999,0,0,1
7353.536222222222,680,-1.1767326664957702,0,0,1
7919.192777777778,680,-1.1645482802512055,0,0,1
8484.849333333334,680,-1.1494711119543346,0,0,1
9050.505888888889,680,-1.1319629764900103,0,0,1
9616.162444444444,680,-1.1124306858947794,0,0,1
10181.819,680,-1.091231203075932,0,0,1
10747.475555555557,680,-1.0686765701472711,0,0,1
11313.13211111111,680,-1.0450385451490516,0,0,1
11878.788666666667,680,-1.020552901392363,0,0,1
12444.445222222224,680,-0.9954234119678512,0,0,1
13010.101777777778,680,-0.9698256551346304,0,0,1
13575.758333333331,680,-0.9439108872158746,0,0,1
14141.414888888889,680,-0.9178102417519292,0,0,1
14707.071444444444,680,-0.8916393217117959,0,0,1
15272.728,680,-0.8655028284575064,0,0,1
15838.384555555556,680,-0.8394983581385969,0,0,1
16404.04111111111,680,-0.8137182144986704,0,0,1
16969.697666666667,680,-0.7882483957585816,0,0,1
17535.35422222222,680,-0.7631649278342919,0,0,1
18101.010777777778,680,-0.738529044778852,0,0,1
18666.66733333333,680,-0.7143833245369081,0,0,1
19232.323888888888,680,-0.6907520460859742,0,0,1
19797.980444444445,680,-0.6676464006780863,0,0,1
20363.637,680,-0.6450710674579629,0,0,1
