density,temperature,TPSA,MW,LogP,HallKierAlpha,delta_phi
0.001,280,31.5,18.015,-0.8247,-0.04,87.36899299002854
56000.0,280,31.5,18.015,-0.8247,-0.04,0.0252285425488747
0.001,330,31.5,18.015,-0.8247,-0.04,32.17593225936558
54868.686888888886,330,31.5,18.015,-0.8247,-0.04,0.0593111904080271
55434.34344444444,330,31.5,18.015,-0.8247,-0.04,0.0600306371013134
56000.0,330,31.5,18.015,-0.8247,-0.04,0.0600484711622761
0.001,380,31.5,18.015,-0.8247,-0.04,14.565726077020486
53171.71722222221,380,31.5,18.015,-0.8247,-0.04,0.0786119700866746
53737.37377777777,380,31.5,18.015,-0.8247,-0.04,0.076749798328754
54303.03033333333,380,31.5,18.015,-0.8247,-0.04,0.0741242902351858
54868.686888888886,380,31.5,18.015,-0.8247,-0.04,0.0706867608330251
55434.34344444444,380,31.5,18.015,-0.8247,-0.04,0.0663860836705118
56000.0,380,31.5,18.015,-0.8247,-0.04,0.0611686291464814
0.001,430,31.5,18.015,-0.8247,-0.04,7.269870355866835
50909.09099999999,430,31.5,18.015,-0.8247,-0.04,0.0832364901537181
51474.74755555555,430,31.5,18.015,-0.8247,-0.04,0.0800558649670364
52040.40411111111,430,31.5,18.015,-0.8247,-0.04,0.0760694802485383
52606.06066666666,430,31.5,18.015,-0.8247,-0.04,0.0712324410528878
53171.71722222221,430,31.5,18.015,-0.8247,-0.04,0.0654967969212888
53737.37377777777,430,31.5,18.015,-0.8247,-0.04,0.0588115197019861
54303.03033333333,430,31.5,18.015,-0.8247,-0.04,0.0511224539534466
54868.686888888886,430,31.5,18.015,-0.8247,-0.04,0.0423722455849976
55434.34344444444,430,31.5,18.015,-0.8247,-0.04,0.0325002533451547
56000.0,430,31.5,18.015,-0.8247,-0.04,0.0214424465611404
0.001,480,31.5,18.015,-0.8247,-0.04,3.6951949543094216
48080.808222222215,480,31.5,18.015,-0.8247,-0.04,0.0713394981845151
48646.46477777777,480,31.5,18.015,-0.8247,-0.04,0.0683455080184946
49212.12133333333,480,31.5,18.015,-0.8247,-0.04,0.0645294667189297
49777.777888888886,480,31.5,18.015,-0.8247,-0.04,0.0598539680601108
50343.43444444444,480,31.5,18.015,-0.8247,-0.04,0.0542783996841759
50909.09099999999,480,31.5,18.015,-0.8247,-0.04,0.0477589358640111
51474.74755555555,480,31.5,18.015,-0.8247,-0.04,0.0402485046011662
52040.40411111111,480,31.5,18.015,-0.8247,-0.04,0.0316967332848355
52606.06066666666,480,31.5,18.015,-0.8247,-0.04,0.0220498768904721
53171.71722222221,480,31.5,18.015,-0.8247,-0.04,0.0112507322383007
53737.37377777777,480,31.5,18.015,-0.8247,-0.04,-0.0007614588221735
54303.03033333333,480,31.5,18.015,-0.8247,-0.04,-0.0140511152235626
54868.686888888886,480,31.5,18.015,-0.8247,-0.04,-0.0286864302570738
55434.34344444444,480,31.5,18.015,-0.8247,-0.04,-0.0447394925258025
56000.0,480,31.5,18.015,-0.8247,-0.04,-0.0622864146723725
0.001,530,31.5,18.015,-0.8247,-0.04,1.7301081749645582
565.6575555555555,530,31.5,18.015,-0.8247,-0.04,0.9743834928105672
1131.314111111111,530,31.5,18.015,-0.8247,-0.04,0.3675724853530993
44121.21233333333,530,31.5,18.015,-0.8247,-0.04,0.0369541969614665
44686.86888888889,530,31.5,18.015,-0.8247,-0.04,0.0364686823025822
45252.52544444444,530,31.5,18.015,-0.8247,-0.04,0.0351929099868347
45818.18199999999,530,31.5,18.015,-0.8247,-0.04,0.0331013859129702
46383.83855555555,530,31.5,18.015,-0.8247,-0.04,0.0301655808853481
46949.49511111111,530,31.5,18.015,-0.8247,-0.04,0.0263539684187369
47515.151666666665,530,31.5,18.015,-0.8247,-0.04,0.0216320361180388
48080.808222222215,530,31.5,18.015,-0.8247,-0.04,0.015962272792828
48646.46477777777,530,31.5,18.015,-0.8247,-0.04,0.0093041332161062
49212.12133333333,530,31.5,18.015,-0.8247,-0.04,0.001613982660947
49777.777888888886,530,31.5,18.015,-0.8247,-0.04,-0.0071549763202144
50343.43444444444,530,31.5,18.015,-0.8247,-0.04,-0.0170527921810921
50909.09099999999,530,31.5,18.015,-0.8247,-0.04,-0.0281328650100409
51474.74755555555,530,31.5,18.015,-0.8247,-0.04,-0.040452056967182
52040.40411111111,530,31.5,18.015,-0.8247,-0.04,-0.0540708103726593
52606.06066666666,530,31.5,18.015,-0.8247,-0.04,-0.0690532718063535
53171.71722222221,530,31.5,18.015,-0.8247,-0.04,-0.085467421183529
53737.37377777777,530,31.5,18.015,-0.8247,-0.04,-0.1033852054094017
54303.03033333333,530,31.5,18.015,-0.8247,-0.04,-0.1228826768475112
54868.686888888886,530,31.5,18.015,-0.8247,-0.04,-0.1440401374271189
55434.34344444444,530,31.5,18.015,-0.8247,-0.04,-0.1669422897453228
56000.0,530,31.5,18.015,-0.8247,-0.04,-0.191678396974358
0.001,580,31.5,18.015,-0.8247,-0.04,0.5527736580559819
565.6575555555555,580,31.5,18.015,-0.8247,-0.04,0.1757337052211976
1131.314111111111,580,31.5,18.015,-0.8247,-0.04,-0.1357347869125049
1696.9706666666666,580,31.5,18.015,-0.8247,-0.04,-0.3935505294904354
2262.6272222222224,580,31.5,18.015,-0.8247,-0.04,-0.6068804822894939
2828.2837777777777,580,31.5,18.015,-0.8247,-0.04,-0.7832423467628042
39030.30333333333,580,31.5,18.015,-0.8247,-0.04,-0.04239928742831
39595.95988888889,580,31.5,18.015,-0.8247,-0.04,-0.0383160281956079
40161.61644444444,580,31.5,18.015,-0.8247,-0.04,-0.0349761252301038
40727.273,580,31.5,18.015,-0.8247,-0.04,-0.0323918910558327
41292.92955555555,580,31.5,18.015,-0.8247,-0.04,-0.0305783754555196
41858.58611111111,580,31.5,18.015,-0.8247,-0.04,-0.0295532987441672
42424.242666666665,580,31.5,18.015,-0.8247,-0.04,-0.0293370081627158
42989.899222222215,580,31.5,18.015,-0.8247,-0.04,-0.029952449754254
43555.55577777777,580,31.5,18.015,-0.8247,-0.04,-0.0314251522197783
44121.21233333333,580,31.5,18.015,-0.8247,-0.04,-0.0337832220477889
44686.86888888889,580,31.5,18.015,-0.8247,-0.04,-0.0370573508111938
45252.52544444444,580,31.5,18.015,-0.8247,-0.04,-0.0412808361519424
45818.18199999999,580,31.5,18.015,-0.8247,-0.04,-0.0464896178903432
46383.83855555555,580,31.5,18.015,-0.8247,-0.04,-0.0527223301716331
46949.49511111111,580,31.5,18.015,-0.8247,-0.04,-0.0600203698270914
47515.151666666665,580,31.5,18.015,-0.8247,-0.04,-0.0684279803699401
48080.808222222215,580,31.5,18.015,-0.8247,-0.04,-0.0779923503932042
48646.46477777777,580,31.5,18.015,-0.8247,-0.04,-0.0887637246651406
49212.12133333333,580,31.5,18.015,-0.8247,-0.04,-0.1007955259597678
49777.777888888886,580,31.5,18.015,-0.8247,-0.04,-0.1141444856142093
50343.43444444444,580,31.5,18.015,-0.8247,-0.04,-0.1288707809465102
50909.09099999999,580,31.5,18.015,-0.8247,-0.04,-0.1450381779621515
51474.74755555555,580,31.5,18.015,-0.8247,-0.04,-0.1627141781830733
52040.40411111111,580,31.5,18.015,-0.8247,-0.04,-0.1819701689071009
52606.06066666666,580,31.5,18.015,-0.8247,-0.04,-0.2028815767146965
53171.71722222221,580,31.5,18.015,-0.8247,-0.04,-0.2255280245482455
53737.37377777777,580,31.5,18.015,-0.8247,-0.04,-0.2499934931773068
54303.03033333333,580,31.5,18.015,-0.8247,-0.04,-0.276366488309743
54868.686888888886,580,31.5,18.015,-0.8247,-0.04,-0.3047402150044883
55434.34344444444,580,31.5,18.015,-0.8247,-0.04,-0.3352127613803357
56000.0,580,31.5,18.015,-0.8247,-0.04,-0.3678872938959017
0.001,630,31.5,18.015,-0.8247,-0.04,-0.2046306732641106
565.6575555555555,630,31.5,18.015,-0.8247,-0.04,-0.4008559764223607
1131.314111111111,630,31.5,18.015,-0.8247,-0.04,-0.5654013311859231
1696.9706666666666,630,31.5,18.015,-0.8247,-0.04,-0.7026498646663969
2262.6272222222224,630,31.5,18.015,-0.8247,-0.04,-0.8162227271654704
2828.2837777777777,630,31.5,18.015,-0.8247,-0.04,-0.9091865305707943
3393.940333333333,630,31.5,18.015,-0.8247,-0.04,-0.9841854848563598
3959.596888888889,630,31.5,18.015,-0.8247,-0.04,-1.043528694492987
4525.2534444444445,630,31.5,18.015,-0.8247,-0.04,-1.0892498088587903
5090.91,630,31.5,18.015,-0.8247,-0.04,-1.1231491950859278
5656.566555555555,630,31.5,18.015,-0.8247,-0.04,-1.1468248743519562
6222.223111111111,630,31.5,18.015,-0.8247,-0.04,-1.1616961672872792
6787.879666666667,630,31.5,18.015,-0.8247,-0.04,-1.1690226033677271
7353.536222222222,630,31.5,18.015,-0.8247,-0.04,-1.1699197839846016
30545.455,630,31.5,18.015,-0.8247,-0.04,-0.2468255876141269
31111.111555555555,630,31.5,18.015,-0.8247,-0.04,-0.2339039753173439
31676.768111111112,630,31.5,18.015,-0.8247,-0.04,-0.2216840192468022
32242.424666666662,630,31.5,18.015,-0.8247,-0.04,-0.2101591833898248
32808.081222222216,630,31.5,18.015,-0.8247,-0.04,-0.1993253793758934
33373.73777777777,630,31.5,18.015,-0.8247,-0.04,-0.1891809113268542
33939.39433333333,630,31.5,18.015,-0.8247,-0.04,-0.1797263935412921
34505.05088888889,630,31.5,18.015,-0.8247,-0.04,-0.1709646403496397
35070.70744444444,630,31.5,18.015,-0.8247,-0.04,-0.1629005473226129
35636.363999999994,630,31.5,18.015,-0.8247,-0.04,-0.1555409865037584
36202.02055555555,630,31.5,18.015,-0.8247,-0.04,-0.1488947320187963
36767.67711111111,630,31.5,18.015,-0.8247,-0.04,-0.1429724226216974
37333.333666666666,630,31.5,18.015,-0.8247,-0.04,-0.1377865589356979
37898.990222222215,630,31.5,18.015,-0.8247,-0.04,-0.1333515275177611
38464.64677777777,630,31.5,18.015,-0.8247,-0.04,-0.1296836417501858
39030.30333333333,630,31.5,18.015,-0.8247,-0.04,-0.1268011901839647
39595.95988888889,630,31.5,18.015,-0.8247,-0.04,-0.1247244852079862
40161.61644444444,630,31.5,18.015,-0.8247,-0.04,-0.1234759077747152
40727.273,630,31.5,18.015,-0.8247,-0.04,-0.1230799466607346
41292.92955555555,630,31.5,18.015,-0.8247,-0.04,-0.123563232977561
41858.58611111111,630,31.5,18.015,-0.8247,-0.04,-0.1249545722143823
42424.242666666665,630,31.5,18.015,-0.8247,-0.04,-0.1272849769817884
42989.899222222215,630,31.5,18.015,-0.8247,-0.04,-0.1305877039151889
43555.55577777777,630,31.5,18.015,-0.8247,-0.04,-0.134898298006203
