density,temperature,Molecular_Weight,Boiling_Point,Melting_Point,delta_phi
0.0,0.21052631578947367,18.01528,100.0,0.0,1.0
0.9999999999999999,0.21052631578947367,18.01528,100.0,0.0,0.02768137625485738
0.0,0.27631578947368424,18.01528,100.0,0.0,0.3855858951191699
0.9797979797979797,0.27631578947368424,18.01528,100.0,0.0,0.028060787349279904
0.9898989898989897,0.27631578947368424,18.01528,100.0,0.0,0.02806879629443013
0.9999999999999999,0.27631578947368424,18.01528,100.0,0.0,0.02806899482479713
0.0,0.34210526315789475,18.01528,100.0,0.0,0.18954749962063397
0.9494949494949491,0.34210526315789475,18.01528,100.0,0.0,0.028275645360645273
0.9595959595959593,0.34210526315789475,18.01528,100.0,0.0,0.028254915497531494
0.9696969696969695,0.34210526315789475,18.01528,100.0,0.0,0.028225688105830225
0.9797979797979797,0.34210526315789475,18.01528,100.0,0.0,0.028187421220053827
0.9898989898989897,0.34210526315789475,18.01528,100.0,0.0,0.0281395456959534
0.9999999999999999,0.34210526315789475,18.01528,100.0,0.0,0.02808146452399626
0.0,0.40789473684210525,18.01528,100.0,0.0,0.10832937902885613
0.9090909090909088,0.40789473684210525,18.01528,100.0,0.0,0.028327125933019427
0.919191919191919,0.40789473684210525,18.01528,100.0,0.0,0.0282917189280234
0.9292929292929291,0.40789473684210525,18.01528,100.0,0.0,0.02824734213561323
0.9393939393939391,0.40789473684210525,18.01528,100.0,0.0,0.02819349578122872
0.9494949494949491,0.40789473684210525,18.01528,100.0,0.0,0.02812964607605965
0.9595959595959593,0.40789473684210525,18.01528,100.0,0.0,0.0280552249701416
0.9696969696969695,0.40789473684210525,18.01528,100.0,0.0,0.027969629600239708
0.9797979797979797,0.40789473684210525,18.01528,100.0,0.0,0.027872221495469852
0.9898989898989897,0.40789473684210525,18.01528,100.0,0.0,0.027762325591978786
0.9999999999999999,0.40789473684210525,18.01528,100.0,0.0,0.027639229094571262
0.0,0.47368421052631576,18.01528,100.0,0.0,0.06853577168018395
0.8585858585858583,0.47368421052631576,18.01528,100.0,0.0,0.028194687550824916
0.8686868686868685,0.47368421052631576,18.01528,100.0,0.0,0.02816135818362685
0.8787878787878786,0.47368421052631576,18.01528,100.0,0.0,0.02811887766944225
0.8888888888888887,0.47368421052631576,18.01528,100.0,0.0,0.028066829598809816
0.8989898989898989,0.47368421052631576,18.01528,100.0,0.0,0.028004761871317424
0.9090909090909088,0.47368421052631576,18.01528,100.0,0.0,0.027932186615038074
0.919191919191919,0.47368421052631576,18.01528,100.0,0.0,0.02784857982026095
0.9292929292929291,0.47368421052631576,18.01528,100.0,0.0,0.027753380734562308
0.9393939393939391,0.47368421052631576,18.01528,100.0,0.0,0.027645991063506
0.9494949494949491,0.47368421052631576,18.01528,100.0,0.0,0.02752577401616156
0.9595959595959593,0.47368421052631576,18.01528,100.0,0.0,0.02739205322734547
0.9696969696969695,0.47368421052631576,18.01528,100.0,0.0,0.02724411157971916
0.9797979797979797,0.47368421052631576,18.01528,100.0,0.0,0.027081189939445492
0.9898989898989897,0.47368421052631576,18.01528,100.0,0.0,0.02690248580972584
0.9999999999999999,0.47368421052631576,18.01528,100.0,0.0,0.026707151897792433
0.0,0.5394736842105263,18.01528,100.0,0.0,0.04666024931268532
0.0101010101010101,0.5394736842105263,18.01528,100.0,0.0,0.038247454334927676
0.020202020202020197,0.5394736842105263,18.01528,100.0,0.0,0.03149237974687019
0.7878787878787877,0.5394736842105263,18.01528,100.0,0.0,0.027811907291996476
0.7979797979797978,0.5394736842105263,18.01528,100.0,0.0,0.027806502499245433
0.808080808080808,0.5394736842105263,18.01528,100.0,0.0,0.027792300487343307
0.818181818181818,0.5394736842105263,18.01528,100.0,0.0,0.027769017453667187
0.8282828282828281,0.5394736842105263,18.01528,100.0,0.0,0.027736335808651095
0.8383838383838382,0.5394736842105263,18.01528,100.0,0.0,0.027693904596632363
0.8484848484848484,0.5394736842105263,18.01528,100.0,0.0,0.027641339622531742
0.8585858585858583,0.5394736842105263,18.01528,100.0,0.0,0.027578223308411292
0.8686868686868685,0.5394736842105263,18.01528,100.0,0.0,0.027504104301165688
0.8787878787878786,0.5394736842105263,18.01528,100.0,0.0,0.027418496855099155
0.8888888888888887,0.5394736842105263,18.01528,100.0,0.0,0.027320880016825973
0.8989898989898989,0.5394736842105263,18.01528,100.0,0.0,0.027210696642468227
0.9090909090909088,0.5394736842105263,18.01528,100.0,0.0,0.02708735227745042
0.919191919191919,0.5394736842105263,18.01528,100.0,0.0,0.026950213927103474
0.9292929292929291,0.5394736842105263,18.01528,100.0,0.0,0.02679860874209567
0.9393939393939391,0.5394736842105263,18.01528,100.0,0.0,0.026631822636943494
0.9494949494949491,0.5394736842105263,18.01528,100.0,0.0,0.02644909885312995
0.9595959595959593,0.5394736842105263,18.01528,100.0,0.0,0.026249636471249914
0.9696969696969695,0.5394736842105263,18.01528,100.0,0.0,0.026032588869567802
0.9797979797979797,0.5394736842105263,18.01528,100.0,0.0,0.025797062119801064
0.9898989898989897,0.5394736842105263,18.01528,100.0,0.0,0.025542113305037906
0.9999999999999999,0.5394736842105263,18.01528,100.0,0.0,0.02526674873963484
0.0,0.6052631578947367,18.01528,100.0,0.0,0.03355405582068692
0.0101010101010101,0.6052631578947367,18.01528,100.0,0.0,0.029356813231518564
0.020202020202020197,0.6052631578947367,18.01528,100.0,0.0,0.025889518027022083
0.030303030303030297,0.6052631578947367,18.01528,100.0,0.0,0.023019490045185553
0.04040404040404041,0.6052631578947367,18.01528,100.0,0.0,0.020644681867162465
