density,temperature,TPSA,MW,LogP,HallKierAlpha,delta_phi
73.99999999999999,50.5,31.5,18.015,-0.8247,-0.04,-0.0305783754555196
75.0,50.5,31.5,18.015,-0.8247,-0.04,-0.0295532987441672
75.99999999999999,50.5,31.5,18.015,-0.8247,-0.04,-0.0293370081627158
76.99999999999999,50.5,31.5,18.015,-0.8247,-0.04,-0.029952449754254
77.99999999999999,50.5,31.5,18.015,-0.8247,-0.04,-0.0314251522197783
79.0,50.5,31.5,18.015,-0.8247,-0.04,-0.0337832220477889
80.0,50.5,31.5,18.015,-0.8247,-0.04,-0.0370573508111938
81.0,50.5,31.5,18.015,-0.8247,-0.04,-0.0412808361519424
81.99999999999999,50.5,31.5,18.015,-0.8247,-0.04,-0.0464896178903432
82.99999999999999,50.5,31.5,18.015,-0.8247,-0.04,-0.0527223301716331
84.0,50.5,31.5,18.015,-0.8247,-0.04,-0.0600203698270914
85.0,50.5,31.5,18.015,-0.8247,-0.04,-0.0684279803699401
86.0,50.5,31.5,18.015,-0.8247,-0.04,-0.0779923503932042
86.99999999999999,50.5,31.5,18.015,-0.8247,-0.04,-0.0887637246651406
87.99999999999999,50.5,31.5,18.015,-0.8247,-0.04,-0.1007955259597678
89.0,50.5,31.5,18.015,-0.8247,-0.04,-0.1141444856142093
90.0,50.5,31.5,18.015,-0.8247,-0.04,-0.1288707809465102
90.99999999999999,50.5,31.5,18.015,-0.8247,-0.04,-0.1450381779621515
92.0,50.5,31.5,18.015,-0.8247,-0.04,-0.1627141781830733
92.99999999999999,50.5,31.5,18.015,-0.8247,-0.04,-0.1819701689071009
93.99999999999999,50.5,31.5,18.015,-0.8247,-0.04,-0.2028815767146965
94.99999999999997,50.5,31.5,18.015,-0.8247,-0.04,-0.2255280245482455
95.99999999999999,50.5,31.5,18.015,-0.8247,-0.04,-0.2499934931773068
97.0,50.5,31.5,18.015,-0.8247,-0.04,-0.276366488309743
97.99999999999999,50.5,31.5,18.015,-0.8247,-0.04,-0.3047402150044883
98.99999999999999,50.5,31.5,18.015,-0.8247,-0.04,-0.3352127613803357
100.0,50.5,31.5,18.015,-0.8247,-0.04,-0.3678872938959017
1.0,58.75,31.5,18.015,-0.8247,-0.04,-0.2046306732641106
2.0,58.75,31.5,18.015,-0.8247,-0.04,-0.4008559764223607
3.0,58.75,31.5,18.015,-0.8247,-0.04,-0.5654013311859231
4.0,58.75,31.5,18.015,-0.8247,-0.04,-0.7026498646663969
5.0,58.75,31.5,18.015,-0.8247,-0.04,-0.8162227271654704
6.0,58.75,31.5,18.015,-0.8247,-0.04,-0.9091865305707943
6.999999999999999,58.75,31.5,18.015,-0.8247,-0.04,-0.9841854848563598
8.0,58.75,31.5,18.015,-0.8247,-0.04,-1.043528694492987
9.0,58.75,31.5,18.015,-0.8247,-0.04,-1.0892498088587903
9.999999999999998,58.75,31.5,18.015,-0.8247,-0.04,-1.1231491950859278
11.0,58.75,31.5,18.015,-0.8247,-0.04,-1.1468248743519562
12.0,58.75,31.5,18.015,-0.8247,-0.04,-1.1616961672872792
13.0,58.75,31.5,18.015,-0.8247,-0.04,-1.1690226033677271
13.999999999999998,58.75,31.5,18.015,-0.8247,-0.04,-1.1699197839846016
55.0,58.75,31.5,18.015,-0.8247,-0.04,-0.2468255876141269
55.99999999999999,58.75,31.5,18.015,-0.8247,-0.04,-0.2339039753173439
57.0,58.75,31.5,18.015,-0.8247,-0.04,-0.2216840192468022
57.999999999999986,58.75,31.5,18.015,-0.8247,-0.04,-0.2101591833898248
58.99999999999999,58.75,31.5,18.015,-0.8247,-0.04,-0.1993253793758934
59.99999999999999,58.75,31.5,18.015,-0.8247,-0.04,-0.1891809113268542
60.99999999999999,58.75,31.5,18.015,-0.8247,-0.04,-0.1797263935412921
62.0,58.75,31.5,18.015,-0.8247,-0.04,-0.1709646403496397
62.99999999999999,58.75,31.5,18.015,-0.8247,-0.04,-0.1629005473226129
63.99999999999999,58.75,31.5,18.015,-0.8247,-0.04,-0.1555409865037584
65.0,58.75,31.5,18.015,-0.8247,-0.04,-0.1488947320187963
66.0,58.75,31.5,18.015,-0.8247,-0.04,-0.1429724226216974
67.0,58.75,31.5,18.015,-0.8247,-0.04,-0.1377865589356979
67.99999999999999,58.75,31.5,18.015,-0.8247,-0.04,-0.1333515275177611
69.0,58.75,31.5,18.015,-0.8247,-0.04,-0.1296836417501858
70.0,58.75,31.5,18.015,-0.8247,-0.04,-0.1268011901839647
71.0,58.75,31.5,18.015,-0.8247,-0.04,-0.1247244852079862
71.99999999999999,58.75,31.5,18.015,-0.8247,-0.04,-0.1234759077747152
73.0,58.75,31.5,18.015,-0.8247,-0.04,-0.1230799466607346
73.99999999999999,58.75,31.5,18.015,-0.8247,-0.04,-0.123563232977561
75.0,58.75,31.5,18.015,-0.8247,-0.04,-0.1249545722143823
75.99999999999999,58.75,31.5,18.015,-0.8247,-0.04,-0.1272849769817884
76.99999999999999,58.75,31.5,18.015,-0.8247,-0.04,-0.1305877039151889
77.99999999999999,58.75,31.5,18.015,-0.8247,-0.04,-0.134898298006203
79.0,58.75,31.5,18.015,-0.8247,-0.04,-0.1402546470990083
80.0,58.75,31.5,18.015,-0.8247,-0.04,-0.1466970485479288
81.0,58.75,31.5,18.015,-0.8247,-0.04,-0.154268289205674
81.99999999999999,58.75,31.5,18.015,-0.8247,-0.04,-0.163013739099828
82.99999999999999,58.75,31.5,18.015,-0.8247,-0.04,-0.1729814584349499
84.0,58.75,31.5,18.015,-0.8247,-0.04,-0.1842223169812004
85.0,58.75,31.5,18.015,-0.8247,-0.04,-0.1967901245047445
86.0,58.75,31.5,18.015,-0.8247,-0.04,-0.2107417706675048
86.99999999999999,58.75,31.5,18.015,-0.8247,-0.04,-0.2261373727660873
87.99999999999999,58.75,31.5,18.015,-0.8247,-0.04,-0.2430404297714377
89.0,58.75,31.5,18.015,-0.8247,-0.04,-0.2615179813457116
90.0,58.75,31.5,18.015,-0.8247,-0.04,-0.2816407708223533
