density,temperature,TPSA,MW,delta_phi
1.0,6.351351351351352,0.0,16.043,-0.3150980989559056
1.289715718028846,6.351351351351352,0.0,16.043,-0.3187610389890365
1.5794314360576922,6.351351351351352,0.0,16.043,-0.321448359144204
1.8691471540865385,6.351351351351352,0.0,16.043,-0.3234565229692258
2.1588628721153844,6.351351351351352,0.0,16.043,-0.3250765506949818
2.4485785901442307,6.351351351351352,0.0,16.043,-0.3265939725465739
59.23285932379808,6.351351351351352,0.0,16.043,-0.015087479063425
59.52257504182691,6.351351351351352,0.0,16.043,-0.0151042130545907
59.812290759855756,6.351351351351352,0.0,16.043,-0.0151255563398757
60.10200647788461,6.351351351351352,0.0,16.043,-0.0151510599302523
60.39172219591345,6.351351351351352,0.0,16.043,-0.0151802945941936
60.6814379139423,6.351351351351352,0.0,16.043,-0.0152128498161605
60.97115363197115,6.351351351351352,0.0,16.043,-0.0152483328819261
61.26086934999999,6.351351351351352,0.0,16.043,-0.0152863680840275
61.55058506802884,6.351351351351352,0.0,16.043,-0.0153265960407645
61.84030078605769,6.351351351351352,0.0,16.043,-0.0153686731223819
62.130016504086534,6.351351351351352,0.0,16.043,-0.0154122709781323
62.41973222211538,6.351351351351352,0.0,16.043,-0.0154570761581421
62.70944794014423,6.351351351351352,0.0,16.043,-0.015502789824119
62.999163658173075,6.351351351351352,0.0,16.043,-0.0155491275431267
63.288879376201905,6.351351351351352,0.0,16.043,-0.0155958191588172
63.578595094230764,6.351351351351352,0.0,16.043,-0.0156426087347066
63.868310812259615,6.351351351351352,0.0,16.043,-0.0156892545643112
64.15802653028845,6.351351351351352,0.0,16.043,-0.0157355292430976
64.4477422483173,6.351351351351352,0.0,16.043,-0.0157812197975042
64.73745796634616,6.351351351351352,0.0,16.043,-0.0158261278664898
65.02717368437501,6.351351351351352,0.0,16.043,-0.01587006993126
65.31688940240385,6.351351351351352,0.0,16.043,-0.0159128775891644
65.60660512043269,6.351351351351352,0.0,16.043,-0.0159543978678907
65.89632083846153,6.351351351351352,0.0,16.043,-0.0159944935764216
66.18603655649038,6.351351351351352,0.0,16.043,-0.016033043689411
66.47575227451922,6.351351351351352,0.0,16.043,-0.0160699437619054
66.76546799254808,6.351351351351352,0.0,16.043,-0.0161051063715681
67.05518371057693,6.351351351351352,0.0,16.043,-0.0161384615858469
67.34489942860577,6.351351351351352,0.0,16.043,-0.0161699574516397
67.63461514663462,6.351351351351352,0.0,16.043,-0.0161995605053871
67.92433086466346,6.351351351351352,0.0,16.043,-0.0162272563016291
68.2140465826923,6.351351351351352,0.0,16.043,-0.0162530499582814
68.50376230072115,6.351351351351352,0.0,16.043,-0.0162769667171297
68.79347801875001,6.351351351351352,0.0,16.043,-0.0162990525181752
69.08319373677885,6.351351351351352,0.0,16.043,-0.0163193745866523
69.3729094548077,6.351351351351352,0.0,16.043,-0.0163380220317096
69.66262517283654,6.351351351351352,0.0,16.043,-0.0163551064559042
69.95234089086537,6.351351351351352,0.0,16.043,-0.0163707625747461
70.24205660889423,6.351351351351352,0.0,16.043,-0.0163851488457558
70.53177232692308,6.351351351351352,0.0,16.043,-0.0163984481065266
70.82148804495192,6.351351351351352,0.0,16.043,-0.0164108682214254
71.11120376298076,6.351351351351352,0.0,16.043,-0.0164226427367074
71.40091948100961,6.351351351351352,0.0,16.043,-0.0164340315438633
71.69063519903845,6.351351351351352,0.0,16.043,-0.0164453215510885
71.9803509170673,6.351351351351352,0.0,16.043,-0.0164568273629238
72.27006663509614,6.351351351351352,0.0,16.043,-0.0164688919680984
72.55978235312502,6.351351351351352,0.0,16.043,-0.0164818874357393
72.84949807115386,6.351351351351352,0.0,16.043,-0.0164962156200857
73.13921378918268,6.351351351351352,0.0,16.043,-0.0165123088740474
73.42892950721154,6.351351351351352,0.0,16.043,-0.0165306307717879
73.71864522524038,6.351351351351352,0.0,16.043,-0.016551676840785
74.00836094326922,6.351351351351352,0.0,16.043,-0.0165759753036902
74.29807666129807,6.351351351351352,0.0,16.043,-0.0166040878304084
74.58779237932691,6.351351351351352,0.0,16.043,-0.0166366103009034
74.87750809735577,6.351351351351352,0.0,16.043,-0.0166741735791633
75.16722381538462,6.351351351351352,0.0,16.043,-0.0167174442989174
75.45693953341345,6.351351351351352,0.0,16.043,-0.0167671256615878
75.7466552514423,6.351351351351352,0.0,16.043,-0.016823958247139
76.03637096947115,6.351351351351352,0.0,16.043,-0.0168887208383728
76.32608668750001,6.351351351351352,0.0,16.043,-0.0169622312593427
76.61580240552884,6.351351351351352,0.0,16.043,-0.0170453472285599
76.9055181235577,6.351351351351352,0.0,16.043,-0.0171389672276679
77.19523384158653,6.351351351351352,0.0,16.043,-0.0172440313863202
77.48494955961539,6.351351351351352,0.0,16.043,-0.01736152238399
77.77466527764422,6.351351351351352,0.0,16.043,-0.0174924663695312
78.06438099567308,6.351351351351352,0.0,16.043,-0.0176379338992118
78.35409671370192,6.351351351351352,0.0,16.043,-0.0177990408941618
78.64381243173078,6.351351351351352,0.0,16.043,-0.0179769496179751
78.93352814975961,6.351351351351352,0.0,16.043,-0.018172869675435
79.22324386778845,6.351351351351352,0.0,16.043,-0.0183880590332445
79.51295958581731,6.351351351351352,0.0,16.043,-0.0186238250637318
79.80267530384614,6.351351351351352,0.0,16.043,-0.0188815256124719
80.09239102187499,6.351351351351352,0.0,16.043,-0.0191625700909027
80.38210673990385,6.351351351351352,0.0,16.043,-0.0194684205948983
80.67182245793269,6.351351351351352,0.0,16.043,-0.0198005930504734
80.96153817596152,6.351351351351352,0.0,16.043,-0.0201606583876813
