,temperature,density,real_ufrac,delta_phi,stable
13286,410,9298.59796192385,-0.06125032181710477,-0.46980633205997085,0
13287,410,9378.758280561124,-0.05741973099076536,-0.4699253190642325,0
13288,410,9458.918599198398,-0.05360681613810181,-0.4700608028129952,0
13289,410,9539.078917835672,-0.04981163139795419,-0.4702125809699447,0
13290,410,9619.239236472948,-0.04603423099208537,-0.47038045091302244,0
13291,410,9699.399555110222,-0.04227466921420797,-0.470564209780943,0
13292,410,9779.559873747496,-0.038533000418505825,-0.47076365451971264,0
13293,410,9859.720192384772,-0.03480927900780695,-0.4709785819292769,0
13294,410,9939.880511022046,-0.03110355942127696,-0.4712087887101423,0
13295,410,10020.04082965932,-0.027415896121798067,-0.4714540715101074,0
13296,410,10100.201148296594,-0.023746343582938145,-0.47171422697097987,0
13297,410,10180.36146693387,-0.02009495627559743,-0.4719890517753409,0
13298,410,10260.521785571143,-0.016461788654237086,-0.472278342693227,0
13299,410,10340.682104208418,-0.012846895142934134,-0.47258189662895084,0
13300,410,10420.842422845693,-0.009250330120980088,-0.4728995106677421,0
13301,410,10501.002741482967,-0.005672147908299285,-0.47323098212245823,0
13302,410,10581.163060120241,-0.00211240275057456,-0.4735761085802201,0
13303,410,10661.323378757515,0.001428851195871439,-0.4739346879489897,0
13304,410,10741.483697394791,0.004951559879431411,-0.47430651850406713,0
13305,410,10821.644016032065,0.008455669368747754,-0.4746913989345308,0
13306,410,10901.80433466934,0.01194112586847118,-0.4750891283895462,0
13307,410,10981.964653306615,0.01540787573513569,-0.4754995065246158,0
13308,410,11062.12497194389,0.018855865493247914,-0.47592233354764135,0
13309,410,11142.285290581163,0.022285041851374476,-0.47635741026498163,0
13310,410,11222.445609218437,0.025695351718531323,-0.4768045381271694,0
13311,410,11302.605927855713,0.02908674222045915,-0.47726351927466737,0
13312,410,11382.766246492987,0.032459160716105995,-0.47773415658331386,0
13313,410,11462.926565130261,0.0358125548140269,-0.47821625370971066,0
13314,410,11543.086883767537,0.0391468723889723,-0.478709615136249,0
13315,410,11623.247202404811,0.04246206159826604,-0.47921404621614105,0
13316,410,11703.407521042085,0.0457580708983909,-0.4797293532180019,0
13317,410,11783.56783967936,0.04903484906134503,-0.4802553433703922,0
13318,410,11863.728158316635,0.052292345191039535,-0.48079182490600725,0
13319,410,11943.888476953909,0.05553050873960719,-0.4813386071056195,0
13320,410,12024.048795591183,0.05874928952359981,-0.481895500341759,0
13321,410,12104.209114228459,0.06194863773999437,-0.4824623161221778,0
13322,410,12184.369432865733,0.0651285039822661,-0.48303886713280975,0
13323,410,12264.529751503007,0.06828883925602214,-0.48362496728069826,0
13324,410,12344.690070140283,0.07142959499467583,-0.4842204317363804,0
13325,410,12424.850388777557,0.07455072307486521,-0.4848250769759894,0
13326,410,12505.01070741483,0.07765217583156525,-0.485438720823098,0
13327,410,12585.171026052105,0.08073390607313069,-0.4860611824900313,0
13328,410,12665.33134468938,0.08379586709598064,-0.48669228261890685,0
13329,410,12745.491663326655,0.08683801269897906,-0.48733184332232005,0
13330,410,12825.651981963929,0.08986029719770094,-0.48797968822345095,0
13331,410,12905.812300601205,0.09286267543819815,-0.48863564249595215,0
13332,410,12985.972619238479,0.0958451028106192,-0.4892995329032308,0
13333,410,13066.132937875753,0.09880753526240282,-0.48997118783737914,0
13334,410,13146.293256513027,0.10174992931113969,-0.49065043735762937,0
13335,410,13226.453575150303,0.10467224205719061,-0.49133711322821483,0
13336,410,13306.613893787577,0.10757443119569476,-0.4920310489559824,0
13337,410,13386.77421242485,0.11045645502851786,-0.49273207982717193,0
13338,410,13466.934531062127,0.11331827247556758,-0.4934400429439173,0
13339,410,13547.0948496994,0.11615984308579086,-0.4941547772601216,0
13340,410,13627.255168336675,0.11898112704779384,-0.4948761236167478,0
13341,410,13707.415486973949,0.12178208519999534,-0.49560392477658677,0
13342,410,13787.575805611224,0.12456267904041385,-0.49633802545837724,0
13343,410,13867.736124248499,0.1273228707359323,-0.497078272370417,0
13344,410,13947.896442885773,0.13006262313127614,-0.4978245142434019,0
13345,410,14028.056761523048,0.13278189975735888,-0.4985766018628224,0
13346,410,14108.217080160322,0.13548066483937315,-0.49933438810051545,0
13347,410,14188.377398797596,0.13815888330427162,-0.5000977279457122,0
13348,410,14268.53771743487,0.14081652078794782,-0.5008664785352491,0
13349,410,14348.698036072146,0.1434535436418244,-0.5016404991832191,0
13350,410,14428.85835470942,0.1460699189391077,-0.5024196514097883,0
13351,410,14509.018673346694,0.14866561448050053,-0.5032037989693685,0
13352,410,14589.17899198397,0.151240598799543,-0.5039928078779613,0
13353,410,14669.339310621244,0.15379484116743503,-0.5047865464398053,0
13354,410,14749.499629258518,0.15632831159747917,-0.5055848852731766,0
13355,410,14829.659947895792,0.15884098084900455,-0.5063876973354691,0
13356,410,14909.820266533068,0.1613328204309632,-0.5071948579473476,0
13357,410,14989.980585170342,0.16380380260499794,-0.5080062448161714,0
13358,410,15070.140903807616,0.16625390038812393,-0.5088217380585301,0
13359,410,15150.301222444892,0.16868308755501726,-0.5096412202218946,0
13360,410,15230.461541082166,0.17109133863985204,-0.5104645763054294,0
13361,410,15310.62185971944,0.17347862893775678,-0.5112916937798947,0
13362,410,15390.782178356716,0.17584493450589633,-0.5121224626066201,0
13363,410,15470.94249699399,0.1781902321641372,-0.5129567752555902,0
13364,410,15551.102815631264,0.18051449949539367,-0.5137945267225436,0
13365,410,15631.263134268538,0.18281771484556242,-0.514635614545167,0
13366,410,15711.423452905814,0.18509985732309853,-0.5154799388183392,0
13367,410,15791.583771543088,0.18736090679835082,-0.5163274022082964,0
13368,410,15871.744090180362,0.18960084390248044,-0.5171779099659023,0
13369,410,15951.904408817638,0.19181965002604628,-0.5180313699389374,0
13370,410,16032.064727454912,0.1940173073174325,-0.5188876925832309,0
13371,410,16112.225046092186,0.19619379868087472,-0.5197467909728876,0
13372,410,16192.38536472946,0.19834910777417147,-0.5206085808095205,0
13373,410,16272.545683366736,0.2004832190063215,-0.5214729804302576,0
13374,410,16352.70600200401,0.20259611753474727,-0.522339910814864,0
13375,410,16432.866320641286,0.2046877892623301,-0.5232092955917634,0
13376,410,16513.02663927856,0.20675822083432427,-0.5240810610428966,0
13377,410,16593.186957915834,0.20880739963492123,-0.5249551361076533,0
13378,410,16673.347276553108,0.2108353137837563,-0.5258314523855958,0
13379,410,16753.507595190382,0.21284195213215085,-0.5267099441381885,0
13380,410,16833.667913827656,0.21482730425928898,-0.5275905482893463,0
13381,410,16913.82823246493,0.21679136046812564,-0.5284732044250144,0
13382,410,16993.988551102208,0.21873411178130753,-0.5293578547915122,0
13383,410,17074.14886973948,0.2206555499368298,-0.5302444442929269,0
13384,410,17154.309188376756,0.2225556673837351,-0.5311329204872699,0
13385,410,17234.46950701403,0.2244344572775835,-0.5320232335816739,0
13386,410,17314.629825651304,0.2262919134758824,-0.5329153364264615,0
13387,410,17394.790144288578,0.2281280305335388,-0.5338091845080375,0
13388,410,17474.950462925855,0.229942803698151,-0.5347047359408013,0
13389,410,17555.11078156313,0.23173622890522938,-0.5356019514580087,0
13390,410,17635.271100200403,0.2335083027734457,-0.5365007944015016,0
13391,410,17715.431418837677,0.23525902259988674,-0.5374012307103437,0
13392,410,17795.59173747495,0.23698838635513264,-0.5383032289085642,0
13393,410,17875.752056112226,0.23869639267851872,-0.5392067600916676,0
13394,410,17955.9123747495,0.2403830408732175,-0.5401117979122929,0
13395,410,18036.072693386777,0.2420483309014193,-0.5410183185647636,0
13396,410,18116.23301202405,0.24369226337946015,-0.5419263007686986,0
13397,410,18196.393330661325,0.24531483957307987,-0.5428357257515258,0
13398,410,18276.5536492986,0.24691606139248756,-0.543746577230238,0
13399,410,18356.713967935873,0.24849593138761183,-0.5446588413920379,0
13400,410,18436.874286573147,0.25005445274334315,-0.5455725068740855,0
13401,410,18517.03460521042,0.251591629274736,-0.5464875647424053,0
13402,410,18597.1949238477,0.2531074654222747,-0.5474040084698669,0
13403,410,18677.355242484973,0.2546019662471489,-0.5483218339133216,0
13404,410,18757.515561122247,0.2560751374266048,-0.549241039289848,0
13405,410,18837.67587975952,0.25752698524920326,-0.5501616251523024,0
13406,410,18917.836198396795,0.25895751661019817,-0.5510835943639797,0
13407,410,18997.99651703407,0.26036673900688534,-0.5520069520725639,0
13408,410,19078.156835671343,0.26175466053396457,-0.5529317056833455,0
13409,410,19158.31715430862,0.26312128987894934,-0.5538578648316973,0
13410,410,19238.477472945895,0.26446663631749623,-0.5547854413549608,0
13411,410,19318.63779158317,0.2657907097088067,-0.5557144492636147,0
13412,410,19398.798110220443,0.26709352049095203,-0.5566449047119,0
13413,410,19478.958428857717,0.2683750796763218,-0.5575768259677254,0
13414,410,19559.11874749499,0.26963539884682164,-0.5585102333822509,0
13415,410,19639.279066132265,0.27087449014922405,-0.5594451493587741,0
13416,410,19719.439384769543,0.2720923662904563,-0.5603815983211546,0
13417,410,19799.599703406817,0.2732890405327387,-0.5613196066818931,0
13418,410,19879.76002204409,0.2744645266887462,-0.5622592028097146,0
13419,410,19959.920340681365,0.2756188391167317,-0.5632004169967402,0
13420,410,20040.08065931864,0.27675199271545037,-0.5641432814254367,0
13421,410,20120.240977955913,0.2778640029191052,-0.5650878301351446,0
13422,410,20200.401296593187,0.27895488569221794,-0.5660340989883076,0
13423,410,20280.561615230465,0.2800246575242449,-0.5669821256366054,0
13424,410,20360.72193386774,0.28107333542418655,-0.5679319494867675,0
13425,410,20440.882252505013,0.2821009369151075,-0.5688836116661737,0
13426,410,20521.042571142287,0.2831074800283899,-0.5698371549884436,0
13427,410,20601.20288977956,0.28409298329789756,-0.5707926239188579,0
13428,410,20681.363208416835,0.28505746575402746,-0.5717500645396635,0
13429,410,20761.52352705411,0.2860009469175441,-0.5727095245153841,0
13430,410,20841.683845691387,0.28692344679313375,-0.5736710530582266,0
13431,410,20921.84416432866,0.2878249858630324,-0.5746347008932498,0
13432,410,21002.004482965935,0.2887055850801571,-0.5756005202238879,0
13433,410,21082.16480160321,0.28956526586118647,-0.5765685646974076,0
13434,410,21162.325120240483,0.2904040500793875,-0.5775388893705181,0
13435,410,21242.485438877757,0.2912219600572773,-0.5785115506750734,0
13436,410,21322.64575751503,0.29201901855889145,-0.5794866063841104,0
13437,410,21402.80607615231,0.29279524878195384,-0.5804641155779526,0
13438,410,21482.966394789582,0.2935506743497531,-0.5814441386105915,0
13439,410,21563.126713426856,0.2942853193026913,-0.5824267370764047,0
13440,410,21643.28703206413,0.2949992080897176,-0.5834119737770112,0
13441,410,21723.447350701405,0.29569236555928824,-0.5843999126886475,0
13442,410,21803.60766933868,0.29636481695027983,-0.5853906189296542,0
13443,410,21883.767987975953,0.2970165878823925,-0.586384158728554,0
13444,410,21963.92830661323,0.2976477043464363,-0.5873805993923483,0
13445,410,22044.088625250504,0.298258192694283,-0.5883800092752657,0
13446,410,22124.24894388778,0.2988480796284708,-0.5893824577479936,0
13447,410,22204.409262525052,0.2994173921915749,-0.5903880151672967,0
13448,410,22284.569581162326,0.299966157755292,-0.5913967528460904,0
13449,410,22364.7298997996,0.30049440400919947,-0.5924087430240245,0
13450,410,22444.890218436874,0.301002158949193,-0.59342405883859,0
13451,410,22525.050537074152,0.3014894508657596,-0.5944427742966052,0
13452,410,22605.210855711426,0.3019563083317224,-0.595464964246463,0
13453,410,22685.3711743487,0.3024027601899617,-0.5964907043506457,0
13454,410,22765.531492985974,0.3028288355406732,-0.5975200710589621,0
13455,410,22845.69181162325,0.30323456372842084,-0.5985531415822636,0
13456,410,22925.852130260522,0.3036199743288024,-0.5995899938668324,0
13457,410,23006.012448897796,0.3039850971350794,-0.6006307065691053,0
13458,410,23086.172767535074,0.30432996214420127,-0.6016753590313128,0
13459,410,23166.333086172348,0.30465459954285545,-0.6027240312574154,0
13460,410,23246.493404809622,0.3049590396931403,-0.6037768038897514,0
13461,410,23326.653723446896,0.3052433131179123,-0.6048337581863554,0
13462,410,23406.81404208417,0.30550745048609107,-0.6058949759986737,0
13463,410,23486.974360721444,0.3057514825975095,-0.6069605397501007,0
13464,410,23567.134679358718,0.3059754403676992,-0.6080305324149554,0
13465,410,23647.294997995996,0.3061793548123469,-0.609105037498171,0
13466,410,23727.45531663327,0.3063632570316762,-0.6101841390154522,0
13467,410,23807.615635270544,0.3065271781943911,-0.6112679214742736,0
