temperature,density,real_ufrac,delta_phi,stable,argon,water,methane
120,0.001,-0.2778791077384643,-0.2778791419087772,0,1,0,0
120,80.16131863727456,-0.2741357783250517,-0.2768835400039319,0,1,0,0
120,160.32163727454912,-0.2704072438366174,-0.2759199532973363,0,1,0,0
120,240.4819559118237,-0.2666929909466335,-0.2749878250024798,0,1,0,0
120,320.6422745490982,-0.2629926306400252,-0.2740867210462909,0,1,0,0
120,400.8025931863728,-0.2593058948164657,-0.2732163266506441,0,1,0,0
120,480.96291182364735,-0.2556326329110978,-0.2723764429314026,0,1,0,0
120,561.1232304609218,-0.2519728085293919,-0.2715669835117184,0,1,0,0
120,641.2835490981964,-0.2483264960928541,-0.2707879711463132,0,1,0,0
120,721.443867735471,-0.2446938774924658,-0.2700395343536339,0,1,0,0
120,801.6041863727455,-0.2410752387469363,-0.2693219040529742,0,1,0,0
120,881.7645050100201,-0.2374709666628263,-0.2686354102036322,0,1,0,0
120,961.9248236472948,-0.2338815454938585,-0.2679804784434328,0,1,0,0
120,1042.0851422845692,-0.2303075535967962,-0.2673576267240052,0,1,0,0
120,1122.2454609218437,-0.2267496600814171,-0.2667674619403578,0,1,0,0
120,1202.4057795591184,-0.2232086214522042,-0.2662106765523813,0,1,0,0
120,1282.5660981963929,-0.2196852782395715,-0.2656880451961139,0,1,0,0
120,1362.7264168336674,-0.2161805516184922,-0.2652004212826447,0,1,0,0
120,1442.886735470942,-0.2126954400125718,-0.2647487335827136,0,1,0,0
120,29178.35698396794,0.956347770010318,-0.0163785931964707,0,1,0,0
120,29258.51730260521,0.9568320621576848,-0.016375966416624,0,1,0,0
120,29338.67762124249,0.9573068558519128,-0.0163753418074431,0,1,0,0
120,29418.83793987976,0.9577723149115616,-0.0163766508252262,0,1,0,0
120,29498.99825851704,0.958228600849384,-0.0163798264710708,0,1,0,0
120,29579.15857715431,0.9586758729492972,-0.0163848032099436,0,1,0,0
120,29659.318895791585,0.9591142883394744,-0.0163915168939268,0,1,0,0
120,29739.479214428866,0.9595440020617544,-0.0163999046894373,0,1,0,0
120,29819.639533066136,0.9599651671375368,-0.0164099050082423,0,1,0,0
120,29899.79985170341,0.960377934630357,-0.0164214574420749,0,1,0,0
120,29979.960170340684,0.9607824537052664,-0.0164345027007164,0,1,0,0
120,30060.12048897796,0.9611788716852496,-0.0164489825533097,0,1,0,0
120,30140.280807615232,0.9615673341047124,-0.0164648397728645,0,1,0,0
120,30220.441126252503,0.9619479847603244,-0.0164820180836616,0,1,0,0
120,30300.601444889784,0.962320965759239,-0.0165004621115339,0,1,0,0
120,30380.761763527054,0.962686417564862,-0.0165201173368424,0,1,0,0
120,30460.92208216433,0.9630444790403077,-0.0165409300500051,0,1,0,0
120,30541.08240080161,0.9633952874896294,-0.0165628473094864,0,1,0,0
120,30621.24271943888,0.9637389786969373,-0.0165858169021299,0,1,0,0
120,30701.403038076154,0.9640756869635144,-0.0166097873057131,0,1,0,0
120,30781.563356713432,0.9644055451430388,-0.0166347076536211,0,1,0,0
120,30861.723675350702,0.9647286846749584,-0.016660527701575,0,1,0,0
120,30941.88399398798,0.965045235616155,-0.0166871977962835,0,1,0,0
120,31022.04431262525,0.9653553266709394,-0.0167146688459663,0,1,0,0
120,31102.204631262528,0.9656590852194769,-0.0167428922926443,0,1,0,0
120,31182.3649498998,0.9659566373446749,-0.0167718200861616,0,1,0,0
120,31262.52526853708,0.9662481078576588,-0.0168014046598076,0,1,0,0
120,31342.685587174357,0.9665336203218384,-0.0168315989075329,0,1,0,0
120,31422.845905811628,0.9668132970756506,-0.0168623561626645,0,1,0,0
120,31503.0062244489,0.9670872592540006,-0.0168936301781001,0,1,0,0
120,31583.166543086176,0.9673556268085152,-0.0169253751078571,0,1,0,0
120,31663.32686172345,0.9676185185265824,-0.0169575454899986,0,1,0,0
120,31743.487180360724,0.9678760520492526,-0.01699009623086,0,1,0,0
120,31823.647498998,0.968128343888049,-0.017022982590519,0,1,0,0
120,31903.80781763528,0.9683755094406858,-0.0170561601695098,0,1,0,0
120,31983.96813627255,0.968617663005798,-0.0170895848966708,0,1,0,0
120,32064.128454909824,0.9688549177966388,-0.0171232130181666,0,1,0,0
120,32144.288773547098,0.9690873859538076,-0.0171570010876158,0,1,0,0
120,32224.44909218437,0.9693151785570614,-0.0171909059572703,0,1,0,0
120,32304.60941082165,0.9695384056361902,-0.0172248847702563,0,1,0,0
120,32384.76972945892,0.9697571761810112,-0.0172588949538232,0,1,0,0
120,32464.9300480962,0.969971598150495,-0.0172928942135797,0,1,0,0
120,32545.09036673347,0.970181778481052,-0.0173268405286866,0,1,0,0
120,32625.250685370745,0.970387823093979,-0.0173606921480004,0,1,0,0
120,32705.41100400802,0.9705898369021214,-0.0173944075871111,0,1,0,0
120,32785.57132264529,0.9707879238157496,-0.0174279456262694,0,1,0,0
120,32865.73164128257,0.970982186747642,-0.0174612653092082,0,1,0,0
120,32945.89195991984,0.97117272761745,-0.0174943259427776,0,1,0,0
120,33026.05227855712,0.9713596473553088,-0.0175270870974291,0,1,0,0
120,33106.21259719439,0.9715430459047364,-0.0175595086085005,0,1,0,0
120,33186.372915831664,0.9717230222248224,-0.0175915505782965,0,1,0,0
