,temperature,density,real_ufrac,delta_phi,stable,pres
171,695,28969.69696969697,0.2539179711814846,-0.5524354302322898,1,-1152.2685860227375
172,695,29530.303030303032,0.2805329922166655,-0.5361345100710363,1,-1165.953098452254
173,695,30090.909090909092,0.30615176423744883,-0.5204367979970664,1,-1177.8055661797048
174,695,30651.515151515152,0.3307791504174741,-0.50534041678987,1,-1187.6528798784916
175,695,31212.121212121212,0.3544207631875378,-0.4908437083167003,1,-1195.3131635127045
176,695,31772.727272727272,0.37708269273159434,-0.476945440285786,1,-1200.59667293866
177,695,32333.333333333336,0.39877124104732775,-0.46364500483881865,1,-1203.3061724384506
178,695,32893.93939393939,0.4194926878432932,-0.4509425834916142,1,-1203.2368397196792
179,695,33454.545454545456,0.43925310047534005,-0.43883926696831443,1,-1200.1758657674006
180,695,34015.15151515152,0.4580581875449433,-0.42733713101293436,1,-1193.9019524614994
181,695,34575.757575757576,0.4759131876439926,-0.41643927735123587,1,-1184.1848753407407
182,695,35136.36363636364,0.49282278179144867,-0.4061498518604699,1,-1170.785201676435
183,695,35696.969696969696,0.5087910193308208,-0.39647405072229946,1,-1153.4541719659817
184,695,36257.57575757576,0.5238212505195465,-0.3874181218107605,1,-1131.9336942740122
185,695,36818.181818181816,0.5379160628333122,-0.37898936471255795,1,-1105.9563774068442
186,695,37378.78787878788,0.5510772208473698,-0.37119612987536743,1,-1075.2455371200106
187,695,37939.39393939394,0.5633056109476138,-0.36404781592756263,1,-1039.5151368397248
188,695,38500.0,0.5746011922040969,-0.3575548640733618,1,-998.4696566776585
189,695,39060.606060606064,0.5849629539794174,-0.3517287491709472,1,-951.8039115009955
190,695,39621.21212121212,0.5943888797619494,-0.3465819681303275,1,-899.202855610552
191,695,40181.818181818184,0.6028759157125947,-0.3421280272197098,1,-840.341417825021
192,695,40742.42424242424,0.6104199417196869,-0.3383814305181767,1,-774.8844086346073
193,695,41303.030303030304,0.6170157424439677,-0.33535767202465183,1,-702.4865334436532
194,695,41863.63636363637,0.6226569758803069,-0.33307323385245546,1,-622.7925353026388
195,695,42424.242424242424,0.627336137285182,-0.3315455925850733,1,-535.4374787960295
196,695,42984.84848484849,0.6310445168306326,-0.33079323533022253,1,-440.04717516457214
197,695,43545.454545454544,0.6337721499567903,-0.33083568637541927,1,-336.2387381432231
198,695,44106.06060606061,0.6355077600312782,-0.3316935446936864,1,-223.62125096631107
199,695,44666.66666666667,0.6362386935257447,-0.3333885319315526,1,-101.7965179117043
200,695,45227.27272727273,0.6359508484460346,-0.3359435499743141,1,29.640131164236895
201,695,45787.87878787879,0.6346285971682043,-0.3393827467601309,1,171.09901754891047
202,695,46348.48484848485,0.6322547051308847,-0.3437315887114739,1,322.9953064710148
203,695,46909.09090909091,0.6288102470033097,-0.34901693798146194,1,485.7482494277626
204,695,47469.69696969697,0.624274521997565,-0.35526713266352095,1,659.7805064842497
205,695,48030.30303030303,0.6186249699345121,-0.3625120681739865,1,845.5175746626999
206,695,48590.909090909096,0.6118370895197448,-0.37078327817414103,1,1043.3873432564249
207,695,49151.51515151515,0.6038843600608297,-0.3801140136284463,1,1253.819791020361
208,695,49712.121212121216,0.5947381675795611,-0.39053931887955684,1,1477.246834039901
209,695,50272.72727272727,0.5843677359607795,-0.40209610394008155,1,1714.1023269671523
210,695,50833.333333333336,0.572740063452719,-0.41482321253553833,1,1964.822214502278
211,695,51393.93939393939,0.5598198645096761,-0.4287614857655009,1,2229.8448247017027
212,695,51954.545454545456,0.5455695166564458,-0.44395382156999696,1,2509.611291088432
213,695,52515.15151515152,0.5299490117690846,-0.4604452304819886,1,2804.566086740884
214,695,53075.757575757576,0.5129159109159283,-0.4782828884063379,1,3115.157650623707
215,695,53636.36363636364,0.49442530168952237,-0.4975161873878089,1,3441.8390844268856
216,695,54196.969696969696,0.47442975679032695,-0.5181967855091806,1,3785.0688970915926
217,695,54757.57575757576,0.4528792924937869,-0.5403786571983223,1,4145.311773977839
218,695,55318.18181818182,0.42972132554629305,-0.5641181453173655,1,4523.03934819943
219,695,55878.78787878788,0.4049006269864941,-0.5894740164640576,1,4918.730952918262
220,695,56439.39393939394,0.3783592713734709,-0.6165075209378477,1,5332.874335241728
221,695,57000.0,0.3500365799191183,-0.6452824588145424,1,5765.96631467787
222,765,1500.0,-1.8398044406583622,-1.8761762127063768,1,-7.046524108671233
223,765,2060.6060606060605,-1.8390371726591992,-1.8895819902926072,1,-13.172307444773601
224,765,2621.212121212121,-1.8315468808545337,-1.8965698447756387,1,-21.079677243578168
225,765,3181.818181818182,-1.8180209874730044,-1.897819505967867,1,-30.674987944442076
226,765,3742.4242424242425,-1.7991036204262354,-1.8939665843325246,1,-41.857409889886505
227,765,4303.030303030303,-1.7753962017603615,-1.8856031362371293,1,-54.52214124579935
228,765,4863.636363636364,-1.7474580757590417,-1.8732782727340258,1,-68.56307822120498
229,765,5424.242424242424,-1.7158072649307523,-1.8574989005905855,1,-83.87495204041818
230,765,5984.848484848485,-1.6809214114873647,-1.8387306536614507,1,-100.35495824642925
231,765,6545.454545454546,-1.6432389367028777,-1.817399047464662,1,-117.90391885764413
232,765,7106.060606060606,-1.6031604297541007,-1.7938908690152515,1,-136.42702991208574
233,765,7666.666666666667,-1.5610502606599486,-1.768555796954197,1,-155.8342554806974
234,765,8227.272727272728,-1.5172383983483333,-1.7417082333826015,1,-176.04043401996654
235,765,8787.878787878788,-1.4720224044117916,-1.7136293182926718,1,-196.96516391720246
236,765,9348.484848484848,-1.425669565542674,-1.684569089856194,1,-218.53253245579373
237,765,9909.09090909091,-1.3784191227746998,-1.6547487488967019,1,-240.67074661168687
238,765,10469.69696969697,-1.3304845532907956,-1.624362983424753,1,-263.31171569418916
239,765,11030.30303030303,-1.2820558604625178,-1.5935823089325254,1,-286.3906256147109
240,765,11590.909090909092,-1.2333018297005487,-1.562555381962012,1,-309.8455333447043
241,765,12151.515151515152,-1.1843722113273794,-1.5314112479903692,1,-333.6169987741023
242,765,12712.121212121212,-1.135399796703715,-1.500261489589527,1,-357.64776053385987
243,765,13272.727272727274,-1.08650235990277,-1.4692022467703538,1,-381.8824531333101
244,765,13833.333333333334,-1.0377844439644601,-1.438316088049636,1,-406.2673555625613
245,765,14393.939393939394,-0.989338977805138,-1.4076737177138394,1,-430.75015668723455
