,temperature,density,real_ufrac,delta_phi,stable
5935,360,20836.12080602007,0.7356068643284941,-0.22502252925756716,1
5936,360,20953.177658862878,0.7355975331201037,-0.226298967400404,1
5937,360,21070.234511705687,0.7355332598706013,-0.22759494591903662,1
5938,360,21187.2913645485,0.7354143357314733,-0.22891094920293342,1
5939,360,21304.348217391307,0.735241043085924,-0.23024746190433332,1
5940,360,21421.405070234116,0.7350136550879875,-0.23160496912341655,1
5941,360,21538.461923076924,0.7347324351969391,-0.23298395661815252,1
5942,360,21655.518775919736,0.7343976367069791,-0.23438491103834624,1
5943,360,21772.575628762545,0.7340095022721745,-0.23580832018338505,1
5944,360,21889.632481605353,0.7335682634265612,-0.23725467328325767,1
5945,360,22006.68933444816,0.7330741400993213,-0.238724461302399,1
5946,360,22123.746187290973,0.7325273401249702,-0.24021817726589012,1
5947,360,22240.803040133782,0.7319280587485899,-0.24173631660743622,1
5948,360,22357.85989297659,0.7312764781258878,-0.2432793775387977,1
5949,360,22474.916745819402,0.7305727668182354,-0.24484786143997572,1
5950,360,22591.97359866221,0.7298170792823421,-0.24644227326995083,1
5951,360,22709.03045150502,0.7290095553548891,-0.24806312199710556,1
5952,360,22826.087304347828,0.7281503197316793,-0.2497109210492321,1
5953,360,22943.14415719064,0.7272394814414963,-0.2513861887823926,1
5954,360,23060.20101003345,0.7262771333146014,-0.25308944896816865,1
5955,360,23177.257862876257,0.7252633514456908,-0.2548212312989466,1
5956,360,23294.314715719065,0.7241981946513212,-0.2565820719107066,1
5957,360,23411.371568561877,0.7230817039217754,-0.25837251392282623,1
5958,360,23528.428421404686,0.7219139018673006,-0.2601931079944546,1
5959,360,23645.485274247494,0.720694792158514,-0.26204441289716185,1
5960,360,23762.542127090303,0.7194243589611511,-0.2639269961031905,1
5961,360,23879.598979933115,0.7181025663647671,-0.2658414343892189,1
5962,360,23996.655832775923,0.7167293578056875,-0.26778831445485984,1
5963,360,24113.71268561873,0.7153046554836807,-0.2697682335559587,1
5964,360,24230.76953846154,0.7138283597726467,-0.2717818001519413,1
5965,360,24347.826391304352,0.712300348625005,-0.27382963456708265,1
5966,360,24464.88324414716,0.7107204769697024,-0.2759123696653424,1
5967,360,24581.94009698997,0.7090885761037438,-0.27803065153844064,1
5968,360,24698.996949832777,0.7074044530771306,-0.280185140206878,1
5969,360,24816.05380267559,0.705667890071073,-0.28237651033363376,1
5970,360,24933.110655518398,0.7038786437692284,-0.28460545195039877,1
5971,360,25050.167508361206,0.7020364447220657,-0.286872671195869,1
5972,360,25167.224361204015,0.7001409967038228,-0.28917889106626515,1
5973,360,25284.281214046827,0.6981919760622542,-0.291524852177526,1
5974,360,25401.338066889635,0.6961890310607877,-0.29391131353921807,1
5975,360,25518.394919732444,0.6941317812128508,-0.2963390533400643,1
5976,360,25635.451772575252,0.6920198166083845,-0.2988088697447615,1
5977,360,25752.508625418064,0.6898526972321162,-0.3013215817021999,1
5978,360,25869.565478260873,0.6876299522734806,-0.3038780297649054,1
5979,360,25986.62233110368,0.6853510794279543,-0.30647907691964915,1
5980,360,26103.67918394649,0.6830155441895289,-0.3091256094292276,1
5981,360,26220.7360367893,0.6806227791341306,-0.31181853768534173,1
5982,360,26337.79288963211,0.6781721831935879,-0.3145587970727187,1
5983,360,26454.84974247492,0.6756631209201027,-0.31734734884428284,1
5984,360,26571.90659531773,0.6730949217407503,-0.32018518100761484,1
5985,360,26688.96344816054,0.6704668792017859,-0.32307330922270183,1
5986,360,26806.020301003347,0.6677782502024084,-0.3260127777111177,1
5987,360,26923.077153846156,0.665028254217896,-0.32900466017651364,1
5988,360,27040.134006688968,0.6622160725113323,-0.3320500607370117,1
5989,360,27157.190859531776,0.6593408473341478,-0.3351501148690923,1
5990,360,27274.247712374585,0.6564016811146427,-0.3383059903636356,1
5991,360,27391.304565217393,0.6533976356344268,-0.341518888294017,1
5992,360,27508.361418060205,0.650327731192404,-0.34479004399647284,1
5993,360,27625.418270903014,0.6471909457556693,-0.3481207280632205,1
5994,360,27742.475123745822,0.643986214097319,-0.35151224734819275,1
5995,360,27859.53197658863,0.6407124269203888,-0.3549659459860395,1
5996,360,27976.588829431443,0.6373684299678312,-0.3584832064243618,1
5997,360,28093.64568227425,0.6339530231177941,-0.36206545046980043,1
5998,360,28210.70253511706,0.6304649594641891,-0.3657141403478793,1
5999,360,28327.759387959868,0.6269029443815791,-0.3694307797774731,1
6000,360,28444.81624080268,0.6232656345743671,-0.3732169150598207,1
6001,360,28561.87309364549,0.6195516371095772,-0.3770741361827049,1
6002,360,28678.929946488297,0.615759508432876,-0.3810040779400663,1
6003,360,28795.986799331105,0.6118877533671545,-0.38500842106765465,1
6004,360,28913.043652173918,0.6079348240933998,-0.3890888933949176,1
6005,360,29030.100505016726,0.6038991191131093,-0.39324727101380785,1
6006,360,29147.157357859534,0.5997789821918602,-0.3974853794648353,1
6007,360,29264.214210702343,0.5955727012833975,-0.40180509494094774,1
6008,360,29381.271063545155,0.5912785074337594,-0.40620834550966844,1
6009,360,29498.327916387963,0.5868945736646232,-0.410697112354265,1
6010,360,29615.38476923077,0.5824190138356731,-0.4152734310341032,1
6011,360,29732.44162207358,0.5778498814849861,-0.41993939276515835,1
6012,360,29849.498474916392,0.573185168646988,-0.42469714572109396,1
6013,360,29966.5553277592,0.5684228046473327,-0.4295488963555314,1
6014,360,30083.61218060201,0.563560654873971,-0.4344969107462153,1
6015,360,30200.66903344482,0.5585965195238143,-0.43954351596165153,1
6016,360,30317.72588628763,0.5535281323241019,-0.44469110145108837,1
6017,360,30434.782739130438,0.5483531592280415,-0.44994212045826076,1
6018,360,30551.839591973247,0.5430691970837078,-0.45529909145989667,1
6019,360,30668.89644481606,0.5376737722755441,-0.46076459962963656,1
