complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
1,0.4999999993943067,38323,0,-0.3072480119298898,-0.3072480119298898,1.0000000048455466,1.0000000048455466,False
3,0.6009558758232051,337,0,-1.2031443581897638*x2,"mul,-1.2031443581897638,x2",0.4409168224948494,0.4409168224948494,False
5,0.6113400761699623,1,0,x2*(-x1 - 0.832216557716593),"mul,x2,sub,-0.832216557716593,x1",0.40417904087573986,0.40417904087573986,False
7,0.6284189102949934,1,0,-x2*(2.0563095672859437 - x5) + x3,"sub,x3,mul,x2,sub,2.0563095672859437,x5",0.3496300219329812,0.3496300219329812,False
13,0.6318577963963679,1,0,-1.255286340603697*x2 + (x1 - 0.37028793732116444)*(x3 - 0.34004322044468005),"add,sub,mul,add,x3,-0.34004322044468005,sub,x1,0.37028793732116444,mul,2.255286340603697,x2,x2",0.3394630570953823,0.3394630570953823,False
14,0.6358085836703856,1,0,-sin(-x2*(-0.6531318152140834*x4 - 0.6531318152140834*exp(x1))),"sin,mul,mul,add,exp,x1,x4,-0.6531318152140834,x2",0.3281003077532824,0.3281003077532824,False
16,0.6406312435906002,1,0,-x2 - 0.17486128137997747*x5 - 0.17486128137997747*sin(17.01101901044215*x1*x2 - 2.6767913191700097),"sub,mul,-0.17486128137997747,add,x5,sin,add,mul,mul,x2,x1,17.01101901044215,-2.6767913191700097,x2",0.31467656643185515,0.31467656643185515,False
21,0.6438885334331443,1,0,x2*(-2.215420277089067*x2 + x3 - tanh(x4) - 0.076945312919520814),"mul,add,add,sub,-0.038472681502382804,sub,tanh,x4,add,-0.03847263141713801,x3,mul,x2,sub,-0.6077100947970718,2.6077101822919952,x2,x2",0.30587961409496695,0.30587961409496695,False
27,0.6570504311839174,1,0,(0.0017955629568076632*x5 + 3.9217150790274875)*(-(x2 - tanh(0.4875619204691036*x3))*(-x1 + exp(x1) - 0.716043067910581) + 0.01600001410599261),"mul,mul,add,2184.114494097114,x5,0.0017955629568076632,sub,0.01600001410599261,mul,add,x2,tanh,mul,-0.4875619204691036,x3,sub,add,exp,x1,-0.716043067910581,x1",0.27243513297817806,0.27243513297817806,False
30,0.6696679615194483,1,0,-0.9999997529834142*cos((x1 + 7.231747611246155*x3 - 3.5955717196587812)*exp(-0.99999998684687702*x2)) - 1.0817093953831768,"mul,sin,1.571499201742434,sub,-1.0817096625834044,cos,mul,exp,mul,x2,sin,-1.5709585187984516,add,sub,-0.7977910122313326,mul,-7.231747611246155,x3,sub,x1,2.7977807074274486",0.2433225455585922,0.2433225455585922,False
