complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
1,0.4999999993943067,75030,0,-0.3072480119298898,-0.3072480119298898,1.0000000048455466,1.0000000048455466,False
3,0.6009558758232051,653,0,-1.2031443581897638*x2,"mul,-1.2031443581897638,x2",0.4409168224948494,0.4409168224948494,False
5,0.6113400761699623,1,0,x2*(-x1 - 0.832216557716593),"mul,x2,sub,-0.832216557716593,x1",0.40417904087573986,0.40417904087573986,False
7,0.6243106169872805,1,0,x2*(-0.493996714950567*x4 - 0.985861847421506),"mul,add,mul,-0.493996714950567,x4,-0.985861847421506,x2",0.36212324461177126,0.36212324461177126,False
11,0.6309475139028714,1,0,0.3988104548324969*x2*(-x2 - 1.2268774853543425)*(x4 + 1.3942502049027015),"mul,mul,add,x4,1.3942502049027015,sub,-1.2268774853543425,x2,mul,x2,0.3988104548324969",0.34212893352606455,0.34212893352606455,False
14,0.6323637040121256,1,0,x2*(1.3457472348031339*sin(x5 - 0.2585186604850987) - 1.8893874059077154) + x3,"add,x3,mul,x2,sub,mul,1.3457472348031339,sin,sub,x5,0.2585186604850987,1.8893874059077154",0.337989255440985,0.337989255440985,False
15,0.653250447086585,1,0,-x2*(x1 - x5 + 1.68575632393065) + x3,"sub,x3,mul,sub,add,x1,exp,0.04530509424112966,sub,x5,0.6394092782574203,x2",0.2817554908303838,0.2817554908303838,False
21,0.6585805419567774,1,0,-x2 + (x2 - 2.318506718925162*sin(x2*sin(x1 + 2.4756297466765864)))*(x3 - 0.8787683106989888),"sub,mul,add,-0.8787683106989888,x3,add,mul,sin,mul,x2,sin,add,x1,2.4756297466765864,-2.318506718925162,x2,x2",0.26875635784484964,0.26875635784484964,False
22,0.678789912382965,1,0,x2*(-5.814267053253105*sin(sin(-x1 + x3 + 4.5241534205092702)) - 5.5923379994396337),"mul,sub,sub,-1.7961858194930187,div,sin,sin,sub,add,x3,3.2620678526328817,add,-1.2620855678763885,x1,0.1719907239968443,3.796152179946615,x2",0.2239275830466547,0.2239275830466547,False
37,0.6795984626184846,1,0,-1.025400229910494*x2 - 0.11723150758193609 - sin(5.174801278839945*x1 + 5.825409401012065*x2 - 4.22490719345123)/(0.9998967264656162*x2**2 + 4.839368371077482),"add,div,sin,sub,mul,2.05545790359502,2.05545790359502,mul,5.825409401012065,add,mul,x1,0.8883154680838247,x2,mul,add,mul,x2,x2,4.839868201372589,tanh,4.935612479317912,sub,add,mul,add,-0.5127001149552468,-0.5127001149552468,x2,0.941264445780843,1.0584959533627791",0.22227182077013016,0.22227182077013016,False
38,0.6809200602390739,1,0,x2**2*(-(2.41456135646398*x1 - 2.41456135646398*x2 + 0.9469566477073649)*(-3.0117922928585226*exp(sin(x3)) + 3.0117922928585226*sin(x2) + 4.4672992756626656) - 1.339627810105813),"mul,x2,mul,add,-0.6698138522040963,sub,-0.6698139579017164,mul,add,mul,add,sub,sin,1.6141888013839938,exp,sin,x3,sin,x2,3.0117922928585226,1.458342000093758,mul,2.41456135646398,sub,0.39218578777146573,sub,x2,x1,x2",0.21958706045688578,0.21958706045688578,False
39,0.7082719757957596,1,0,-0.5186616744889344*x2 + sin((x2 - cos(x5) - 6.142457167582139)*tanh((-x2 + x5)*(sin(x1*x2) - 0.23603075413323227)) + 0.5401978425701375) - 0.9858350668505098,"add,sub,-0.9858350668505098,mul,x2,0.5186616744889344,sin,add,mul,add,-6.142457167582139,sub,x2,cos,x5,tanh,mul,sub,x5,x2,sub,sin,mul,x2,x1,0.23603075413323227,cos,1.0001241387249387",0.16965090647929795,0.16965090647929795,False
