r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
6.009559035301208496e-01,6.009559035301208496e-01,1.826887279748916626e-01,5.030388832092285156e-01,7.468800067901611328e+00,1.669811367988586426e+00,-1.000000000000000000e+00,4.369000000000000000e+03,8.800000000000000000e+01,4.369000000000000000e+03,8.800000000000000000e+01,2.771768093109130859e+00,2.733719825744628906e+00,3.614000082015991211e-01,0.000000000000000000e+00,5.000000000000000000e-01,8.327157020568847656e+00,1.000000000000000000e+04
6.102830767631530762e-01,6.102830767631530762e-01,1.881912499666213989e-01,5.033457875251770020e-01,7.179800033569335938e+00,1.718066692352294922e+00,-1.000000000000000000e+00,4.212000000000000000e+03,9.300000000000000000e+01,3.778000000000000000e+03,7.500000000000000000e+01,2.771807670593261719e+00,2.734726905822753906e+00,3.481000065803527832e-01,0.000000000000000000e+00,5.000000000000000000e-01,6.387723922729492188e+00,2.000000000000000000e+04
6.102830767631530762e-01,6.099274754524230957e-01,1.836061626672744751e-01,5.040010213851928711e-01,7.336800098419189453e+00,1.727602958679199219e+00,-1.000000000000000000e+00,4.281000000000000000e+03,9.100000000000000000e+01,3.776000000000000000e+03,6.800000000000000000e+01,2.771807670593261719e+00,2.732520103454589844e+00,3.585000038146972656e-01,0.000000000000000000e+00,5.000000000000000000e-01,7.879913330078125000e+00,3.000000000000000000e+04
6.102830767631530762e-01,6.009559035301208496e-01,1.865502148866653442e-01,5.041027665138244629e-01,7.137800216674804688e+00,1.681177973747253418e+00,-1.000000000000000000e+00,4.314000000000000000e+03,8.700000000000000000e+01,3.735000000000000000e+03,6.600000000000000000e+01,2.771803379058837891e+00,2.733138561248779297e+00,3.479000031948089600e-01,0.000000000000000000e+00,5.000000000000000000e-01,6.508532524108886719e+00,4.000000000000000000e+04
6.102830767631530762e-01,6.101617813110351562e-01,1.844454407691955566e-01,5.029876232147216797e-01,7.386899948120117188e+00,1.915254235267639160e+00,-1.000000000000000000e+00,4.343000000000000000e+03,1.010000000000000000e+02,3.713000000000000000e+03,7.400000000000000000e+01,2.771759033203125000e+00,2.734048366546630859e+00,3.531999886035919189e-01,0.000000000000000000e+00,5.000000000000000000e-01,5.974308967590332031e+00,5.000000000000000000e+04
6.241385936737060547e-01,6.241385936737060547e-01,1.865703165531158447e-01,5.041152238845825195e-01,6.964399814605712891e+00,1.824214220046997070e+00,-1.000000000000000000e+00,4.214000000000000000e+03,1.050000000000000000e+02,3.519000000000000000e+03,7.400000000000000000e+01,2.771725177764892578e+00,2.735518455505371094e+00,3.443000018596649170e-01,0.000000000000000000e+00,5.000000000000000000e-01,6.376143455505371094e+00,6.000000000000000000e+04
6.241385936737060547e-01,6.127653717994689941e-01,1.851592063903808594e-01,5.026773214340209961e-01,7.412499904632568359e+00,1.667062997817993164e+00,-1.000000000000000000e+00,4.273000000000000000e+03,7.500000000000000000e+01,3.566000000000000000e+03,5.400000000000000000e+01,2.771652698516845703e+00,2.733036279678344727e+00,3.583000004291534424e-01,0.000000000000000000e+00,5.000000000000000000e-01,6.385926246643066406e+00,7.000000000000000000e+04
6.241385936737060547e-01,6.240660548210144043e-01,1.847288012504577637e-01,5.038170218467712402e-01,7.267799854278564453e+00,1.781512618064880371e+00,-1.000000000000000000e+00,4.300000000000000000e+03,9.600000000000000000e+01,3.547000000000000000e+03,6.700000000000000000e+01,2.771615743637084961e+00,2.733281850814819336e+00,3.594000041484832764e-01,0.000000000000000000e+00,5.000000000000000000e-01,5.818864822387695312e+00,8.000000000000000000e+04
6.241385936737060547e-01,6.009559035301208496e-01,1.874303519725799561e-01,5.033362507820129395e-01,7.052999973297119141e+00,1.796709775924682617e+00,-1.000000000000000000e+00,4.301000000000000000e+03,9.800000000000000000e+01,3.491000000000000000e+03,7.000000000000000000e+01,2.771435260772705078e+00,2.733441114425659180e+00,3.479999899864196777e-01,0.000000000000000000e+00,5.000000000000000000e-01,5.812756061553955078e+00,9.000000000000000000e+04
6.241385936737060547e-01,6.009559035301208496e-01,1.856208890676498413e-01,5.034499168395996094e-01,7.163700103759765625e+00,1.829355597496032715e+00,-1.000000000000000000e+00,4.294000000000000000e+03,1.010000000000000000e+02,3.467000000000000000e+03,6.400000000000000000e+01,2.771392822265625000e+00,2.733554840087890625e+00,3.506000041961669922e-01,0.000000000000000000e+00,5.000000000000000000e-01,6.426424980163574219e+00,1.000000000000000000e+05
